id,description,dataset.id,dataset.name,category.id,category.name,subcategory.id,subcategory.name,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,pyramidMultiplier,themes
event_effect_magnitude,"Future feature: This is not yet populated. Impact magnitude on entities affected by the event. < 0.1 = minor impact, 0.1 - 0.9 = moderate impact, > 0.9 high impact.",news36,News Analytics Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.7713,0,0,1.5,[]
mws36_key_event_confidence,Event classification confidence score,news36,News Analytics Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.7713,5,6,1.5,[]
mws36_novelty,"The novelty score in the context of the subscribed content sets. 100 is novel, 50 partially novel, 0 no novelty value.",news36,News Analytics Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.7713,7,7,1.5,[]
mws36_novelty_newest_span,The time measured in milliseconds between this story and most recent older similar story. Empty when this story is the first in the novelty sequence.,news36,News Analytics Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.7713,6,6,1.5,[]
mws36_novelty_oldest_span,The time measured in milliseconds between this story and oldest known similar story which is taken to be the story that started the current novelty sequence. Empty when this story is the first in the novelty sequence.,news36,News Analytics Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.7713,3,3,1.5,[]
mws36_relevance,"The relevance of the story to the entiity. 100 is highly relevant, 10 marginal relevance",news36,News Analytics Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.7713,6,6,1.5,[]
mws36_sentiment_negative_confidence,Negative classification confidence score. Higher means more confident this is a negative story.,news36,News Analytics Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.7713,5,8,1.5,[]
mws36_sentiment_phrase_negative,The count of negative sentiment associated phrases detected by the bigram aspect of the classifier.,news36,News Analytics Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.7713,13,17,1.5,[]
mws36_sentiment_phrase_positive,The count of positive sentiment associated phrases detected by the bigram aspect of the classifier.,news36,News Analytics Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.7713,3,3,1.5,[]
mws36_sentiment_positive_confidence,Positive classification confidence score. Higher means more confident this is a positive story.,news36,News Analytics Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.7713,7,9,1.5,[]
mws36_sentiment_words_negative,The count of negative sentiment associated tokens detected by the unigram aspect of the classifier.,news36,News Analytics Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.7713,5,6,1.5,[]
mws36_sentiment_words_positive,The count of positive sentiment associated tokens detected by the unigram aspect of the classifier.,news36,News Analytics Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.7713,9,9,1.5,[]
mws36_timestamp_time,Timestamp time,news36,News Analytics Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.7713,4,4,1.5,[]
mws36_title,The article title,news36,News Analytics Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.7713,4,4,1.5,[]
mws36_total_words,The count of tokens examined by the unigram aspect of the classifier.,news36,News Analytics Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.7713,6,6,1.5,[]
