id,description,dataset.id,dataset.name,category.id,category.name,subcategory.id,subcategory.name,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,pyramidMultiplier,themes
deep_value_europe_composite_score,Deep Value (EUR),model77,Analysts' Factor Model,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,MATRIX,1,0.8299,18,24,1.4,[]
ebitda_to_enterprise_value_ratio_2,TTM EBITDA-to-Enterprise Value,model77,Analysts' Factor Model,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,MATRIX,1,0.8299,25,35,1.4,[]
global_cash_to_liabilities_ratio,"Ratio of cash and equivalents to current liabilities, calculated using a fixed method for global coverage.",model77,Analysts' Factor Model,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,MATRIX,1,0.8578,2,2,1.4,[]
mdl177_dvm_chgollev,"Change in Operating Liability Leverage : It is defined as the current quarter operating liability leverage less the operating liability leverage 4 quarters ago, where operating liability leverage equals 1 minus the ratio of (short-term debt + long-term debt + common equity + preferred equity - cash) to (total assets - cash)",model77,Analysts' Factor Model,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,MATRIX,1,0.8524,3,3,1.4,[]
mdl177_dvm_chgollev_alt,"Change in Operating Liability Leverage : It is defined as the current quarter operating liability leverage less the operating liability leverage 4 quarters ago, where operating liability leverage equals 1 minus the ratio of (short-term debt + long-term debt + common equity + preferred equity - cash) to (total assets - cash)",model77,Analysts' Factor Model,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,MATRIX,1,0.7945,2,3,1.4,[]
mdl177_dvm_dvm_eur_composite_alt,Deep Value (EUR),model77,Analysts' Factor Model,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,MATRIX,1,0.8382,11,11,1.4,[]
mdl177_dvm_ebitdaev,TTM EBITDA-to-Enterprise Value,model77,Analysts' Factor Model,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,MATRIX,1,0.8524,6,11,1.4,[]
mdl177_dvm_ebitdaev_alt,TTM EBITDA-to-Enterprise Value,model77,Analysts' Factor Model,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,MATRIX,1,0.7876,4,5,1.4,[]
mdl177_dvm_past,Price-to-Total Assets : It is defined as a stock's month-end trading price divided most recent quarterly reported total assets per share.,model77,Analysts' Factor Model,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,MATRIX,1,0.8524,6,7,1.4,[]
mdl177_dvm_past_alt,Price-to-Total Assets : It is defined as a stock's month-end trading price divided most recent quarterly reported total assets per share.,model77,Analysts' Factor Model,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,MATRIX,1,0.8382,1,1,1.4,[]
mdl177_dvm_roe,Return on Equity : It is defined as the trailing 12-month income before extra items divided by the average of common equity in the same period.,model77,Analysts' Factor Model,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,MATRIX,1,0.8524,3,5,1.4,[]
mdl177_dvm_roe_alt,Return on Equity : It is defined as the trailing 12-month income before extra items divided by the average of common equity in the same period.,model77,Analysts' Factor Model,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,MATRIX,1,0.835,1,1,1.4,[]
mdl177_dvm_ttmfcfp,TTM Free Cash Flow-to-Price : It is defined as the trailing 12-month free cash flow per share for a stock divided by its month-end trading price Free cash flow equals operating cash flow minus capital expenditures and cash dividends.,model77,Analysts' Factor Model,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,MATRIX,1,0.8524,14,16,1.4,[]
mdl177_dvm_ttmfcfp_alt,TTM Free Cash Flow-to-Price : It is defined as the trailing 12-month free cash flow per share for a stock divided by its month-end trading price Free cash flow equals operating cash flow minus capital expenditures and cash dividends.,model77,Analysts' Factor Model,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,MATRIX,1,0.8362,9,13,1.4,[]
mdl177_dvm_ttmgfp,TTM Growth Flow-to-Price : It is defined as the sum of trailing 12-month growth flow value per share for a stock divided by its month-end trading price. Growth flow is the sum of Research & Development expenses and reported net income.,model77,Analysts' Factor Model,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,MATRIX,1,0.8524,4,5,1.4,[]
mdl177_dvm_ttmgfp_alt,TTM Growth Flow-to-Price : It is defined as the sum of trailing 12-month growth flow value per share for a stock divided by its month-end trading price. Growth flow is the sum of Research & Development expenses and reported net income.,model77,Analysts' Factor Model,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,MATRIX,1,0.8381,4,4,1.4,[]
mdl177_dvm_tw_ep,Time Weighted Earnings Yield : This factor uses a time-weighted combination of FY1 and FY2 earnings estimates to create a twelve-month forward earnings forecastThis earnings factor is a unique compliment to the wide variety of earnings-related metrics available to determine a company's fair value.,model77,Analysts' Factor Model,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,MATRIX,1,0.8524,5,5,1.4,[]
mdl177_dvm_tw_ep_alt,Time Weighted Earnings Yield : This factor uses a time-weighted combination of FY1 and FY2 earnings estimates to create a twelve-month forward earnings forecastThis earnings factor is a unique compliment to the wide variety of earnings-related metrics available to determine a company's fair value.,model77,Analysts' Factor Model,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,MATRIX,1,0.8343,5,5,1.4,[]
mdl177_emm_chg3yepsp_2,The difference between the the trailing 12-month earnings per share and that of 12-quarters ago for a stock divided by its month-end trading price.,model77,Analysts' Factor Model,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,MATRIX,1,0.8532,2,2,1.4,[]
mdl177_emm_chg3yepsp_alt,The difference between the the trailing 12-month earnings per share and that of 12-quarters ago for a stock divided by its month-end trading price.,model77,Analysts' Factor Model,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,MATRIX,1,0.8277,1,1,1.4,[]
mdl177_emm_chgepsp_2,The difference between the most recently reported trailing 12-month earnings per share and that of 4 quarters ago for a stock deflated by its month-end trading price.,model77,Analysts' Factor Model,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,MATRIX,1,0.8532,6,6,1.4,[]
mdl177_emm_chgepsp_alt,The difference between the most recently reported trailing 12-month earnings per share and that of 4 quarters ago for a stock deflated by its month-end trading price.,model77,Analysts' Factor Model,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,MATRIX,1,0.8368,3,3,1.4,[]
mdl177_emm_emm_eur_composite_alt,Earnings Momentum (EUR),model77,Analysts' Factor Model,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,MATRIX,1,0.8418,4,4,1.4,[]
mdl177_emm_fc_dypeg_2,Reciprocal of Dividend Yield-adjusted PEG : It is defined as the reciprocal of a stock's forward 12-month P/E ratio divided by the total growth rateThe total growth rate is the sum of the forecasted long-term growth rate and the indicated dividend yield.,model77,Analysts' Factor Model,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,MATRIX,1,0.8532,4,7,1.4,[]
mdl177_emm_fc_dypeg_alt,Reciprocal of Dividend Yield-adjusted PEG : It is defined as the reciprocal of a stock's forward 12-month P/E ratio divided by the total growth rateThe total growth rate is the sum of the forecasted long-term growth rate and the indicated dividend yield.,model77,Analysts' Factor Model,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,MATRIX,1,0.7615,3,3,1.4,[]
mdl177_emm_fc_epsrm,The 3-month change in analysts' median earnings forecast for a stock's fiscal 1 scaled by the current mean estimate.,model77,Analysts' Factor Model,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,MATRIX,1,0.8532,5,6,1.4,[]
mdl177_emm_fc_epsrm_alt,The 3-month change in analysts' median earnings forecast for a stock's fiscal 1 scaled by the current mean estimate.,model77,Analysts' Factor Model,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,MATRIX,1,0.8061,4,5,1.4,[]
mdl177_emm_fc_numrevy1,"Net # of Revisions for Fiscal Year 1 : It is defined as the weighted average of the number of FY1 analyst earnings forecasts raised less the number lowered within a month, divided by the total number of analyst forecasts.",model77,Analysts' Factor Model,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,MATRIX,1,0.8532,8,11,1.4,[]
mdl177_emm_fc_numrevy1_alt,"Net # of Revisions for Fiscal Year 1 : It is defined as the weighted average of the number of FY1 analyst earnings forecasts raised less the number lowered within a month, divided by the total number of analyst forecasts.",model77,Analysts' Factor Model,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,MATRIX,1,0.8418,4,4,1.4,[]
mdl177_emm_fc_rev3y2_2,"3-M Revision in FY2 EPS Forecasts : It is defined as the change in the current mean consensus earnings estimate for fiscal year 2 less that of three months ago, deflated by its trading price.",model77,Analysts' Factor Model,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,MATRIX,1,0.8532,1,1,1.4,[]
mdl177_emm_fc_rev3y2_alt,"3-M Revision in FY2 EPS Forecasts : It is defined as the change in the current mean consensus earnings estimate for fiscal year 2 less that of three months ago, deflated by its trading price.",model77,Analysts' Factor Model,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,MATRIX,1,0.8397,1,1,1.4,[]
mdl177_emm_fc_stdevfy1epsp_2,Std Dev of FY1 EPS Estimates-to-Price,model77,Analysts' Factor Model,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,MATRIX,1,0.8532,2,2,1.4,[]
mdl177_emm_fc_stdevfy1epsp_alt,Std Dev of FY1 EPS Estimates-to-Price,model77,Analysts' Factor Model,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,MATRIX,1,0.8275,2,2,1.4,[]
mdl177_eur_balshtrank_qvaeur_alt,Balance Sheet Strength Rank,model77,Analysts' Factor Model,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,MATRIX,1,0.65,1,1,1.4,[]
mdl177_eur_incstmtrank_qaveur,Income Statement Rank,model77,Analysts' Factor Model,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,MATRIX,1,0.7395,2,2,1.4,[]
mdl177_eur_incstmtrank_qaveur_alt,Income Statement Rank,model77,Analysts' Factor Model,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,MATRIX,1,0.65,0,0,1.4,[]
mdl177_eur_mgteff_qvaeur,Profitability &  Earnings Quality Rank,model77,Analysts' Factor Model,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,MATRIX,1,0.7395,2,2,1.4,[]
mdl177_eur_mgteff_qvaeur_alt,Profitability &  Earnings Quality Rank,model77,Analysts' Factor Model,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,MATRIX,1,0.65,1,1,1.4,[]
mdl177_global_aci,Abnormal Capital Investment : It is defined as the change in a firm's most recent trailing 12-month capital investment intensity compared to the average of its prior 3-year investment intensity.,model77,Analysts' Factor Model,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,MATRIX,1,0.8578,2,2,1.4,[]
mdl177_global_acp,Average Collection Period : It is defined as the average of the trailing 12-month reported accounts receivable times 365 and then divided by the trailing 12-month sales.,model77,Analysts' Factor Model,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,MATRIX,1,0.8578,3,3,1.4,[]
mdl177_global_acqmul,Acquisition Multiple : It is defined as the most recent quarterly reported invested capital divided by the trailing 12-month EBITDA.,model77,Analysts' Factor Model,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,MATRIX,1,0.8578,4,4,1.4,[]
mdl177_global_actrtn12m,12-Month Active Return with 1-month Lag : It is defined as the percent change in price for a stock from month t-13 to month t-1.,model77,Analysts' Factor Model,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,MATRIX,1,0.8578,3,3,1.4,[]
mdl177_global_actrtn18m,18-Month Active Return with 1-Month Lag : It is defined as the percent change in price for a stock from month t-19 to month t-1.,model77,Analysts' Factor Model,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,MATRIX,1,0.8578,1,1,1.4,[]
mdl177_global_actrtn1m,1-Month Active Return : It is defined as the percent change in price for a stock from month t-1 to month t.,model77,Analysts' Factor Model,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,MATRIX,1,0.8578,4,4,1.4,[]
mdl177_global_actrtn24m,24-Month Active Return with 1-Month Lag : It is defined as the percent change in price for a stock from month t-25 to month t-1.,model77,Analysts' Factor Model,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,MATRIX,1,0.8578,2,2,1.4,[]
mdl177_global_actrtn2m,2-Month Active Return : It is defined as the percent change in price for a stock from month t-2 to month t.,model77,Analysts' Factor Model,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,MATRIX,1,0.8578,2,2,1.4,[]
mdl177_global_actrtn36m,36-Month Active Return with 1-Month Lag : It is defined as the percent change in price for a stock from month t-37 to month t-1.,model77,Analysts' Factor Model,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,MATRIX,1,0.8578,2,2,1.4,[]
mdl177_global_actrtn3m,3-Month Active Return : It is defined as the percent change in price for a stock from month t-3 to month t.,model77,Analysts' Factor Model,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,MATRIX,1,0.8578,3,3,1.4,[]
mdl177_global_actrtn60m,60-Month Active Return with 1-Month Lag : It is defined as the percent change in price for a stock from month t-61 to month t-1.,model77,Analysts' Factor Model,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,MATRIX,1,0.8578,2,2,1.4,[]
mdl177_global_actrtn6m,6-Month Active Return with 1-Month Lag : It is defined the percent change in price for a stock from month t-7 to month t-1.,model77,Analysts' Factor Model,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,MATRIX,1,0.8578,2,2,1.4,[]
mdl177_global_actrtn9m,9-Month Active Return with 1-Month Lag : It is defined as a stock's price percent change from month t-10 to month t-1.,model77,Analysts' Factor Model,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,MATRIX,1,0.8578,4,4,1.4,[]
mdl177_global_alpha60m,60-Month Alpha : It is defined as the intercept of the regression line which best fits a stock's monthly price return against the S&P 500 index monthly return over last 60-month period.,model77,Analysts' Factor Model,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,MATRIX,1,0.8578,2,2,1.4,[]
mdl177_global_app,Average Payable Period : It is defined as the average of the trailing 12-month accounts payable times 365 divided by the trailing 12-month cost of goods sold.,model77,Analysts' Factor Model,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,MATRIX,1,0.8578,3,3,1.4,[]
mdl177_global_aqi,Asset Quality Index : It is defined as the year-over-year change of 1 minus the ratio of current assets plus PP&E divided by total assets,model77,Analysts' Factor Model,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,MATRIX,1,0.8578,3,3,1.4,[]
mdl177_global_aspanratio,Stock's quarterly operating assets minus its operating liabilities deflated by the lagged total assets,model77,Analysts' Factor Model,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,MATRIX,1,0.8578,4,4,1.4,[]
mdl177_global_astcomp,Asset Composition : It is defined as the total current assets from the most recent quarter divided by the total assets from the most recent quarter.,model77,Analysts' Factor Model,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,MATRIX,1,0.8578,1,1,1.4,[]
mdl177_global_astto,Assets Turnover Ratio : It is defined as the trailing 12-month sales divided by the most recently reported quarterly assets.,model77,Analysts' Factor Model,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,MATRIX,1,0.8578,1,1,1.4,[]
mdl177_global_bdi,Basic Defensive Interval : It measures how many days that a company can cover its daily operating expenses (cost of goods sold and SG&A) by only using its cash and receivables on its balance sheet.,model77,Analysts' Factor Model,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,MATRIX,1,0.8578,1,1,1.4,[]
mdl177_global_beta,60-Month Beta : It is defined as 0.67 times the 60-month beta plus 0.33Beta is the covariance between a stock's monthly return and the monthly S&P 500 index return in the prior 60-month period divided by the variance of the monthly S&P 500 index return in the same period.,model77,Analysts' Factor Model,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,MATRIX,1,0.8578,3,3,1.4,[]
mdl177_global_betasigma,Product of Beta and Sigma : It is defined as the product of the adjusted 60-month Beta and 60-month Sigma (standard deviation of monthly price returns).,model77,Analysts' Factor Model,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,MATRIX,1,0.8578,3,3,1.4,[]
mdl177_global_booklev,Book Leverage : It is defined as the most recently reported quarterly total assets divided by the book equity.,model77,Analysts' Factor Model,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,MATRIX,1,0.8578,2,2,1.4,[]
mdl177_global_bp,Book-to-Market : It is defined as the most recently reported book value per share for a stock deflated by its month-end trading price.,model77,Analysts' Factor Model,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,MATRIX,1,0.8578,6,7,1.4,[]
mdl177_global_capacq,Capital Acquisition Ratio : It is defined as the trailing 12-month operating cash flow less than the trailing 12-month cash dividends and then divided by the total expenditures in the same period.,model77,Analysts' Factor Model,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,MATRIX,1,0.8578,5,5,1.4,[]
mdl177_global_capexast,Capital Expenditure-to-Total Assets : It is defined as trailing 12-month capital expenditures divided by the total assets from most recent quarter,model77,Analysts' Factor Model,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,MATRIX,1,0.8578,3,3,1.4,[]
mdl177_global_capexsale,TTM Capital Expenditures-to-Sales : It is defined as trailing 12-month capital expenditures divided by trailing 12-month sales.,model77,Analysts' Factor Model,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,MATRIX,1,0.8578,2,2,1.4,[]
mdl177_global_cashburnrate,Cash Burn Rate : It is defined as: -(Cash From Operations + Cash from Investments)/(Cash + Short-term Investments).,model77,Analysts' Factor Model,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,MATRIX,1,0.8578,4,4,1.4,[]
mdl177_global_cashc,Cash Cycle : It is defined as the average inventory days plus the average collection days minus the average payable days.,model77,Analysts' Factor Model,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,MATRIX,1,0.8578,2,2,1.4,[]
mdl177_global_cashp,Cash-to-Price : It is defined as the most recently reported cash and equivalents per share of a company divided by trading price.,model77,Analysts' Factor Model,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,MATRIX,1,0.8578,2,2,1.4,[]
mdl177_global_cashratio,Cash & Equivalents-to-Current Liabilities : It is defined as the most recently reported quarterly cash & equivalents divided by current liabilities.,model77,Analysts' Factor Model,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,MATRIX,1,0.8578,3,3,1.4,[]
mdl177_global_cashsale,The mean value of company's assets in the trailing 1-year divided by the trailing 1-year revenues.,model77,Analysts' Factor Model,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,MATRIX,1,0.8578,1,1,1.4,[]
mdl177_global_cashsev,Cash to Enterprise Value : It is defined as the total cash & equivalents dividd by the sum of the market value of common equity and book value of long-term debt.,model77,Analysts' Factor Model,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,MATRIX,1,0.8578,1,1,1.4,[]
mdl177_global_ccd,Current Cash Flow Debt Coverage Ratio : It is defined as the most recently reported quarterly cash flow from operations less the cash dividends divided by the current interest-bearing debt,model77,Analysts' Factor Model,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,MATRIX,1,0.8578,1,1,1.4,[]
mdl177_global_cfita,TTM Cash Flow from Investment to Total Assets : It is defined as the trailing 12-month cash flow from the investing portion of the cash flow statement divided by the last 4 quarters average total assets,model77,Analysts' Factor Model,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,MATRIX,1,0.8578,0,0,1.4,[]
mdl177_global_cfleverage,Cash Flow Leverage : It is defined as the total liabilities divided by the trailing 12-month operating cash flow.,model77,Analysts' Factor Model,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,MATRIX,1,0.8578,2,3,1.4,[]
mdl177_global_cfroi,"Cash Flow Return on Invested Capital : It is defined as the trailing 12-month cash flow divided by the average invested capital in the same periodInvested capital equals the sum of common equity,long-term debt,minority interest and preferred stock.",model77,Analysts' Factor Model,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,MATRIX,1,0.8578,4,4,1.4,[]
mdl177_global_cg3ysales,The geometric growth rate of the trailing 12-month sales per share in the last 12 quarters.,model77,Analysts' Factor Model,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,MATRIX,1,0.8578,1,1,1.4,[]
mdl177_global_chg3ycfast,3-yr Change in Assets-adj TTM Cash Flow : It is defined as the most recently reported trailing 12-month operating cash flow minus 12-quarter ago comparable trailing 12-month cash flow scaled by the average total assets in the same period.,model77,Analysts' Factor Model,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,MATRIX,1,0.8578,2,2,1.4,[]
mdl177_global_chg3ycfp,The difference between the the trailing 12-month cash flow per share and that of 12-quarter ago comparable trailing 12-month cash flow for a stock divided by its trading price.,model77,Analysts' Factor Model,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,MATRIX,1,0.8578,1,1,1.4,[]
mdl177_global_chg3yepsast,3-yr Change in Assets-adj TTM EPS : It is defined as the the trailing 12-month earnings per share before extra items (EPS) minus the EPS 12-quarters ago deflated by the average total assets per share.,model77,Analysts' Factor Model,model,Model,model-technical-models,Technical Models,EUR,1,TOP2500,MATRIX,1,0.8578,1,1,1.4,[]
