id,description,dataset.id,dataset.name,category.id,category.name,subcategory.id,subcategory.name,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,pyramidMultiplier,themes
mdl230_allcap_sedol_52whigh,It is defined as the month-end price divided by the highest monthly closing price in the past 12-month.,model230,Factor Ratios and its Rank Model,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,0.8606,44,55,1.4,[]
mdl230_allcap_sedol_60dsigma,Sigma is defined as the standard deviation of monthly price returns.,model230,Factor Ratios and its Rank Model,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,0.8587,18,23,1.4,[]
mdl230_allcap_sedol_6351_rp,It is defined as the moving average of a stock's prices in the last 15 weeks divided by the moving average of its prices in the last 36 weeks.,model230,Factor Ratios and its Rank Model,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,0.8514,7,7,1.4,[]
mdl230_allcap_sedol_actrtn12m,It is defined as the percent change in price for a stock from month t-13 to month t-1.,model230,Factor Ratios and its Rank Model,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,0.8488,6,6,1.4,[]
mdl230_allcap_sedol_actrtn18m,It is defined as the percent change in price for a stock from month t-19 to month t-1.,model230,Factor Ratios and its Rank Model,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,0.8413,6,6,1.4,[]
mdl230_allcap_sedol_actrtn1m,It is defined as the percent change in price for a stock from month t-1 to month t.,model230,Factor Ratios and its Rank Model,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,0.8606,21,24,1.4,[]
mdl230_allcap_sedol_actrtn24m,It is defined as the percent change in price for a stock from month t-25 to month t-1.,model230,Factor Ratios and its Rank Model,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,0.8323,6,6,1.4,[]
mdl230_allcap_sedol_actrtn2m,It is defined as the percent change in price for a stock from month t-2 to month t.,model230,Factor Ratios and its Rank Model,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,0.8602,8,10,1.4,[]
mdl230_allcap_sedol_actrtn36m,It is defined as the percent change in price for a stock from month t-37 to month t-1.,model230,Factor Ratios and its Rank Model,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,0.809,4,15,1.4,[]
mdl230_allcap_sedol_actrtn3m,It is defined as the percent change in price for a stock from month t-3 to month t.,model230,Factor Ratios and its Rank Model,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,0.86,12,16,1.4,[]
mdl230_allcap_sedol_actrtn60m,It is defined as the percent change in price for a stock from month t-61 to month t-1.,model230,Factor Ratios and its Rank Model,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,0.7662,4,10,1.4,[]
mdl230_allcap_sedol_actrtn60m12lag,It is defined as the percent change in price for a stock from month t-72 to month t-12.,model230,Factor Ratios and its Rank Model,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,0.7396,5,5,1.4,[]
mdl230_allcap_sedol_actrtn6m,It is defined as the percent change in price for a stock from month t-7 to month t-1.,model230,Factor Ratios and its Rank Model,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,0.8525,4,4,1.4,[]
mdl230_allcap_sedol_actrtn9m,It is defined as a stock's price percent change from month t-10 to month t-1.,model230,Factor Ratios and its Rank Model,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,0.8499,6,6,1.4,[]
mdl230_allcap_sedol_ad,It is defined as the most recently reported total debt divided by total assets.,model230,Factor Ratios and its Rank Model,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,0.854,10,12,1.4,[]
mdl230_allcap_sedol_adpmoc,"It is defined as the most recently reported sum of long-term debt, short-term debt, underfunded pension liabilities, operating lease expense, and preferred stock, divided by the total assets.",model230,Factor Ratios and its Rank Model,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,0.8494,7,14,1.4,[]
