id,description,dataset.id,dataset.name,category.id,category.name,subcategory.id,subcategory.name,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,pyramidMultiplier,themes
buyback_yield_relative_component_rank_d1,Global rank for the share buyback yield component in the valuation model (d1 version).,model38,Growth Valuation Model,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.9388,36,67,1.4,[]
buyback_yield_relative_score,Relative ranking score for the share buyback yield component.,model38,Growth Valuation Model,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.7611,23,32,1.4,[]
buyback_yield_relative_score_float,Relative ranking score for the share buyback yield component (float type).,model38,Growth Valuation Model,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.7611,19,29,1.4,[]
dividend_yield_relative_component_rank_d1,Global rank for the dividend yield component in the valuation model (d1 version).,model38,Growth Valuation Model,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.8601,24,26,1.4,[]
dividend_yield_relative_score,Relative ranking score for the dividend yield component.,model38,Growth Valuation Model,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.6683,22,25,1.4,[]
dividend_yield_relative_score_float,Relative ranking score for the dividend yield component (float type).,model38,Growth Valuation Model,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.6683,32,50,1.4,[]
earnings_measure_type_float,Type of financial measure used for earnings projections (float type).,model38,Growth Valuation Model,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.6734,1,1,1.4,[]
earnings_projection_metric_type_d1,"Type of financial metric used for earnings projections, typically EPS (d1 version).",model38,Growth Valuation Model,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.8502,3,3,1.4,[]
ev_ebitda_relative_score,Relative ranking score for the enterprise value to EBITDA ratio component.,model38,Growth Valuation Model,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.8141,16,25,1.4,[]
ev_ebitda_relative_score_float,Relative ranking score for the enterprise value to EBITDA ratio component (float type).,model38,Growth Valuation Model,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.6655,20,35,1.4,[]
ev_ebitda_relative_score_main,Relative ranking score for the enterprise value to EBITDA ratio component.,model38,Growth Valuation Model,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.6655,14,21,1.4,[]
ev_sales_relative_component_rank_d1,Global rank for the enterprise value to sales ratio component in the valuation model (d1 version).,model38,Growth Valuation Model,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.7549,9,16,1.4,[]
ev_sales_relative_score,Relative ranking score for the enterprise value to sales ratio component.,model38,Growth Valuation Model,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.6092,9,12,1.4,[]
ev_sales_relative_score_float,Relative ranking score for the enterprise value to sales ratio component (float type).,model38,Growth Valuation Model,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.6092,11,14,1.4,[]
forward_10yr_eps_growth_rate,Compound annual EPS growth rate projected for the next 10 years.,model38,Growth Valuation Model,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.6731,8,11,1.4,[]
forward_5yr_eps_growth_rate,Compound annual EPS growth rate projected for the next 5 years.,model38,Growth Valuation Model,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.6731,14,24,1.4,[]
global_relative_valuation_rank_main,Global-relative score ranking companies by valuation metrics.,model38,Growth Valuation Model,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.7754,27,30,1.4,[]
global_relative_valuation_score,Global-relative score ranking companies by valuation metrics.,model38,Growth Valuation Model,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.7754,31,43,1.4,[]
industry_rank_price_intrinsic_value,Ranking of price to intrinsic value ratio relative to industry peers.,model38,Growth Valuation Model,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.5746,10,10,1.4,[]
industry_rank_price_to_intrinsic_value,Industry-relative ranking of the price to intrinsic value ratio.,model38,Growth Valuation Model,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.5746,11,11,1.4,[]
industry_relative_valuation_rank,Industry-relative score ranking companies by valuation metrics.,model38,Growth Valuation Model,model,Model,model-valuation-models,Valuation Models,EUR,1,TOP2500,MATRIX,1,0.9454,40,81,1.4,[]
