id,description,dataset.id,dataset.name,category.id,category.name,subcategory.id,subcategory.name,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,pyramidMultiplier,themes
balance_sheet_language_score,Score based on language about balance sheet and debt structure.,model37,Text Mining Data,model,Model,model-nlp-models,NLP Models,EUR,1,TOP2500,MATRIX,1,0.7263,4,4,1.4,[]
credit_model_structural_letter_grade_float,"Credit rating grade inferred from the structural risk model, as a floating point value.",model37,Text Mining Data,model,Model,model-nlp-models,NLP Models,EUR,1,TOP2500,MATRIX,1,0.7298,0,0,1.4,[]
credit_risk_broker_research_component_score,Credit risk score derived from broker research analysis.,model37,Text Mining Data,model,Model,model-nlp-models,NLP Models,EUR,1,TOP2500,MATRIX,1,0.6685,18,19,1.4,[]
credit_risk_broker_research_component_score_float_2,"Credit risk score from broker research, as a floating point value (alternate source).",model37,Text Mining Data,model,Model,model-nlp-models,NLP Models,EUR,1,TOP2500,MATRIX,1,0.6685,16,18,1.4,[]
credit_risk_broker_research_component_score_float_4,"Credit risk score from broker research, as a floating point value (fourth source).",model37,Text Mining Data,model,Model,model-nlp-models,NLP Models,EUR,1,TOP2500,MATRIX,1,0.6685,11,15,1.4,[]
credit_risk_broker_research_component_score_float_5,"Credit risk score from broker research, as a floating point value (fifth source).",model37,Text Mining Data,model,Model,model-nlp-models,NLP Models,EUR,1,TOP2500,MATRIX,1,0.6685,8,10,1.4,[]
credit_risk_country_percentile_score,Percentile rank of credit risk within the country group.,model37,Text Mining Data,model,Model,model-nlp-models,NLP Models,EUR,1,TOP2500,MATRIX,1,0.7263,2,2,1.4,[]
credit_risk_country_percentile_score_float_2,Country-level percentile rank of credit risk as a floating point value (alternate source).,model37,Text Mining Data,model,Model,model-nlp-models,NLP Models,EUR,1,TOP2500,MATRIX,1,0.7263,1,1,1.4,[]
credit_risk_country_percentile_score_float_4,Country-level percentile rank of credit risk as a floating point value (fourth source).,model37,Text Mining Data,model,Model,model-nlp-models,NLP Models,EUR,1,TOP2500,MATRIX,1,0.7263,2,2,1.4,[]
credit_risk_country_percentile_score_float_5,Country-level percentile rank of credit risk as a floating point value (fifth source).,model37,Text Mining Data,model,Model,model-nlp-models,NLP Models,EUR,1,TOP2500,MATRIX,1,0.7263,0,0,1.4,[]
credit_risk_global_percentile_score,Percentile rank of credit risk compared to all companies globally.,model37,Text Mining Data,model,Model,model-nlp-models,NLP Models,EUR,1,TOP2500,MATRIX,1,0.7263,2,2,1.4,[]
credit_risk_global_percentile_score_float_2,Global percentile rank of credit risk as a floating point value (alternate source).,model37,Text Mining Data,model,Model,model-nlp-models,NLP Models,EUR,1,TOP2500,MATRIX,1,0.7263,2,2,1.4,[]
credit_risk_global_percentile_score_float_4,Global percentile rank of credit risk as a floating point value (fourth source).,model37,Text Mining Data,model,Model,model-nlp-models,NLP Models,EUR,1,TOP2500,MATRIX,1,0.7263,2,2,1.4,[]
credit_risk_global_percentile_score_float_5,Global percentile rank of credit risk as a floating point value (fifth source).,model37,Text Mining Data,model,Model,model-nlp-models,NLP Models,EUR,1,TOP2500,MATRIX,1,0.7263,2,2,1.4,[]
credit_risk_industry_percentile_score,Percentile rank of credit risk within the industry group.,model37,Text Mining Data,model,Model,model-nlp-models,NLP Models,EUR,1,TOP2500,MATRIX,1,0.7203,2,2,1.4,[]
credit_risk_industry_percentile_score_float_2,Industry-level percentile rank of credit risk as a floating point value (alternate source).,model37,Text Mining Data,model,Model,model-nlp-models,NLP Models,EUR,1,TOP2500,MATRIX,1,0.7203,5,5,1.4,[]
credit_risk_industry_percentile_score_float_4,Industry-level percentile rank of credit risk as a floating point value (fourth source).,model37,Text Mining Data,model,Model,model-nlp-models,NLP Models,EUR,1,TOP2500,MATRIX,1,0.7203,1,1,1.4,[]
credit_risk_industry_percentile_score_float_5,Industry-level percentile rank of credit risk as a floating point value (fifth source).,model37,Text Mining Data,model,Model,model-nlp-models,NLP Models,EUR,1,TOP2500,MATRIX,1,0.7203,0,0,1.4,[]
credit_risk_news_component_score,Credit risk score derived from news article analysis.,model37,Text Mining Data,model,Model,model-nlp-models,NLP Models,EUR,1,TOP2500,MATRIX,1,0.7153,1,1,1.4,[]
credit_risk_news_component_score_float_2,"Credit risk score from news articles, as a floating point value (alternate source).",model37,Text Mining Data,model,Model,model-nlp-models,NLP Models,EUR,1,TOP2500,MATRIX,1,0.7153,0,0,1.4,[]
credit_risk_news_component_score_float_4,"Credit risk score from news articles, as a floating point value (fourth source).",model37,Text Mining Data,model,Model,model-nlp-models,NLP Models,EUR,1,TOP2500,MATRIX,1,0.7153,0,0,1.4,[]
credit_risk_news_component_score_float_5,"Credit risk score from news articles, as a floating point value (fifth source).",model37,Text Mining Data,model,Model,model-nlp-models,NLP Models,EUR,1,TOP2500,MATRIX,1,0.7153,0,0,1.4,[]
credit_risk_region_percentile_score,Percentile rank of credit risk within the geographic region.,model37,Text Mining Data,model,Model,model-nlp-models,NLP Models,EUR,1,TOP2500,MATRIX,1,0.7263,0,0,1.4,[]
credit_risk_region_percentile_score_float_2,Region-level percentile rank of credit risk as a floating point value (alternate source).,model37,Text Mining Data,model,Model,model-nlp-models,NLP Models,EUR,1,TOP2500,MATRIX,1,0.7263,0,0,1.4,[]
credit_risk_region_percentile_score_float_4,Region-level percentile rank of credit risk as a floating point value (fourth source).,model37,Text Mining Data,model,Model,model-nlp-models,NLP Models,EUR,1,TOP2500,MATRIX,1,0.7263,1,1,1.4,[]
credit_risk_region_percentile_score_float_5,Region-level percentile rank of credit risk as a floating point value (fifth source).,model37,Text Mining Data,model,Model,model-nlp-models,NLP Models,EUR,1,TOP2500,MATRIX,1,0.7263,2,2,1.4,[]
credit_risk_sector_percentile_score_2,Percentile rank of credit risk within the sector group (alternate source).,model37,Text Mining Data,model,Model,model-nlp-models,NLP Models,EUR,1,TOP2500,MATRIX,1,0.7247,0,0,1.4,[]
credit_risk_transcripts_component_score,Credit risk score derived from conference call transcript analysis.,model37,Text Mining Data,model,Model,model-nlp-models,NLP Models,EUR,1,TOP2500,MATRIX,1,0.4096,0,0,1.4,[]
credit_risk_transcripts_component_score_float_2,"Credit risk score from conference call transcripts, as a floating point value (alternate source).",model37,Text Mining Data,model,Model,model-nlp-models,NLP Models,EUR,1,TOP2500,MATRIX,1,0.4096,0,0,1.4,[]
credit_risk_transcripts_component_score_float_4,"Credit risk score from conference call transcripts, as a floating point value (fourth source).",model37,Text Mining Data,model,Model,model-nlp-models,NLP Models,EUR,1,TOP2500,MATRIX,1,0.4096,0,0,1.4,[]
credit_risk_transcripts_component_score_float_5,"Credit risk score from conference call transcripts, as a floating point value (fifth source).",model37,Text Mining Data,model,Model,model-nlp-models,NLP Models,EUR,1,TOP2500,MATRIX,1,0.4097,0,0,1.4,[]
default_probability_percent,"Estimated probability of default over the next year, as a percent.",model37,Text Mining Data,model,Model,model-nlp-models,NLP Models,EUR,1,TOP2500,MATRIX,1,0.7263,5,6,1.4,[]
external_event_language_score,Score based on language about market or third-party events affecting the company.,model37,Text Mining Data,model,Model,model-nlp-models,NLP Models,EUR,1,TOP2500,MATRIX,1,0.7262,2,2,1.4,[]
legal_obligation_language_score,Score based on language about legal responsibilities and agreements.,model37,Text Mining Data,model,Model,model-nlp-models,NLP Models,EUR,1,TOP2500,MATRIX,1,0.7263,1,1,1.4,[]
mdl37_broker_research,The global 1-100 rank of a company's credit riskiness based on textual data in broker research documents according to the StarMine Text Mining Credit Risk model. Lower risk companies are given higher scores.,model37,Text Mining Data,model,Model,model-nlp-models,NLP Models,EUR,1,TOP2500,MATRIX,1,0.6685,179,594,1.4,[]
mdl37_broker_research_d1,The global 1-100 rank of a company's credit riskiness based on textual data in broker research documents according to the StarMine Text Mining Credit Risk model. Lower risk companies are given higher scores.,model37,Text Mining Data,model,Model,model-nlp-models,NLP Models,EUR,1,TOP2500,MATRIX,1,0.6685,17,21,1.4,[]
mdl37_country_rank,"""The 1-100 percentile rank, by country, of a company's 1-year default probability based on the StarMine Text Mining Credit Risk Model. Higher scores indicate companies that are less likely to go bankrupt, or default on their debt obligations, within the next 1- year period.""",model37,Text Mining Data,model,Model,model-nlp-models,NLP Models,EUR,1,TOP2500,MATRIX,1,0.7263,13,173,1.4,[]
mdl37_country_rank_d1,"""The 1-100 percentile rank, by country, of a company's 1-year default probability based on the StarMine Text Mining Credit Risk Model. Higher scores indicate companies that are less likely to go bankrupt, or default on their debt obligations, within the next 1- year period.""",model37,Text Mining Data,model,Model,model-nlp-models,NLP Models,EUR,1,TOP2500,MATRIX,1,0.7263,1,1,1.4,[]
mdl37_credit_textscore,The global 1-100 rank of a company's credit riskiness based on textual data in StreetEvents conference call transcripts according to the StarMine Text Mining Credit Risk Model. Lower risk companies are given higher scores.,model37,Text Mining Data,model,Model,model-nlp-models,NLP Models,EUR,1,TOP2500,MATRIX,1,0.4097,5,6,1.4,[]
mdl37_credit_textscore_d1,The global 1-100 rank of a company's credit riskiness based on textual data in StreetEvents conference call transcripts according to the StarMine Text Mining Credit Risk Model. Lower risk companies are given higher scores.,model37,Text Mining Data,model,Model,model-nlp-models,NLP Models,EUR,1,TOP2500,MATRIX,1,0.4096,0,0,1.4,[]
mdl37_external,The global 1-100 rank of a company based on the language regarding market conditions or third parties that have a material impact on the company. Lower risk companies are given higher scores.,model37,Text Mining Data,model,Model,model-nlp-models,NLP Models,EUR,1,TOP2500,MATRIX,1,0.7262,3,150,1.4,[]
mdl37_external_d1,The global 1-100 rank of a company based on the language regarding market conditions or third parties that have a material impact on the company. Lower risk companies are given higher scores.,model37,Text Mining Data,model,Model,model-nlp-models,NLP Models,EUR,1,TOP2500,MATRIX,1,0.7262,2,2,1.4,[]
mdl37_global_rank,"""The global 1-100 percentile rank of a company's 1-year default probability based on the Text Mining StarMine Credit Risk Model. Higher scores indicate companies that are less likely to go bankrupt, or default on their debt obligations, within the next 1-year period.""",model37,Text Mining Data,model,Model,model-nlp-models,NLP Models,EUR,1,TOP2500,MATRIX,1,0.7263,19,48,1.4,[]
mdl37_global_rank_d1,"""The global 1-100 percentile rank of a company's 1-year default probability based on the Text Mining StarMine Credit Risk Model. Higher scores indicate companies that are less likely to go bankrupt, or default on their debt obligations, within the next 1-year period.""",model37,Text Mining Data,model,Model,model-nlp-models,NLP Models,EUR,1,TOP2500,MATRIX,1,0.7263,4,5,1.4,[]
mdl37_income,The global 1-100 rank of a company based on the language related to the company's earnings and profitability. Lower risk companies are given higher scores.,model37,Text Mining Data,model,Model,model-nlp-models,NLP Models,EUR,1,TOP2500,MATRIX,1,0.7263,49,246,1.4,[]
mdl37_income_d1,The global 1-100 rank of a company based on the language related to the company's earnings and profitability. Lower risk companies are given higher scores.,model37,Text Mining Data,model,Model,model-nlp-models,NLP Models,EUR,1,TOP2500,MATRIX,1,0.7263,1,1,1.4,[]
mdl37_index_rating,"probability of default by quantitatively analyzing textual content including transcripts, news, filings, and research",model37,Text Mining Data,model,Model,model-nlp-models,NLP Models,EUR,1,TOP2500,MATRIX,1,0.6608,10,144,1.4,[]
mdl37_industry_rank,"""The 1-100 percentile rank, among other firms in the same region and TRBC Industry Group, of a company's 1-year default probability based on the StarMine Text Mining Credit Risk Model.Higher scores indicate companies that are less likely to go bankrupt, or default on their debt obligations, within the next 1- year period. The TRBC Industry Group is analogous to the GICS industry.""",model37,Text Mining Data,model,Model,model-nlp-models,NLP Models,EUR,1,TOP2500,MATRIX,1,0.7203,7,143,1.4,[]
mdl37_industry_rank_d1,"""The 1-100 percentile rank, among other firms in the same region and TRBC Industry Group, of a company's 1-year default probability based on the StarMine Text Mining Credit Risk Model.Higher scores indicate companies that are less likely to go bankrupt, or default on their debt obligations, within the next 1- year period. The TRBC Industry Group is analogous to the GICS industry.""",model37,Text Mining Data,model,Model,model-nlp-models,NLP Models,EUR,1,TOP2500,MATRIX,1,0.7203,0,0,1.4,[]
mdl37_legal,The global 1-100 rank of a company based on the language regarding the company's agreements with its partners or financers. Lower risk companies are given higher scores.,model37,Text Mining Data,model,Model,model-nlp-models,NLP Models,EUR,1,TOP2500,MATRIX,1,0.7263,3,20,1.4,[]
mdl37_legal_d1,The global 1-100 rank of a company based on the language regarding the company's agreements with its partners or financers. Lower risk companies are given higher scores.,model37,Text Mining Data,model,Model,model-nlp-models,NLP Models,EUR,1,TOP2500,MATRIX,1,0.7263,0,0,1.4,[]
mdl37_news,The global 1-100 rank of a company's credit riskiness based on textual data in Reuters news articles according to the StarMine Text Mining Credit Risk Model. Lower risk companies are given higher scores.,model37,Text Mining Data,model,Model,model-nlp-models,NLP Models,EUR,1,TOP2500,MATRIX,1,0.7153,10,45,1.4,[]
mdl37_news_d1,The global 1-100 rank of a company's credit riskiness based on textual data in Reuters news articles according to the StarMine Text Mining Credit Risk Model. Lower risk companies are given higher scores.,model37,Text Mining Data,model,Model,model-nlp-models,NLP Models,EUR,1,TOP2500,MATRIX,1,0.7153,0,0,1.4,[]
mdl37_pd_pct,"A decimal value that indicates the probability that the company will go bankrupt, or default on its debt obligations over the next 1-year period",model37,Text Mining Data,model,Model,model-nlp-models,NLP Models,EUR,1,TOP2500,MATRIX,1,0.7263,10,26,1.4,[]
mdl37_pd_pct_d1,"A decimal value that indicates the probability that the company will go bankrupt, or default on its debt obligations over the next 1-year period",model37,Text Mining Data,model,Model,model-nlp-models,NLP Models,EUR,1,TOP2500,MATRIX,1,0.7263,0,0,1.4,[]
mdl37_region_rank,"""The 1-100 percentile rank, among other firms in the same region, of a company's 1-year default probability based on the StarMine Text Mining Credit Risk Model. Higher scores indicate companies that are less likely to go bankrupt, or default on their debt obligations, within the next 1-year period.""",model37,Text Mining Data,model,Model,model-nlp-models,NLP Models,EUR,1,TOP2500,MATRIX,1,0.7263,13,186,1.4,[]
mdl37_region_rank_d1,"""The 1-100 percentile rank, among other firms in the same region, of a company's 1-year default probability based on the StarMine Text Mining Credit Risk Model. Higher scores indicate companies that are less likely to go bankrupt, or default on their debt obligations, within the next 1-year period.""",model37,Text Mining Data,model,Model,model-nlp-models,NLP Models,EUR,1,TOP2500,MATRIX,1,0.7263,1,1,1.4,[]
mdl37_sector_rank,"""The 1-100 percentile rank, among other firms in the same region and TRBC Economic Sector, of a company's 1-year default probability based on the StarMine Text Mining Credit Risk Model. Higher scores indicate companies that are less likely to go bankrupt, or default on their debt obligations, within the next 1-year period. The TRBC Economic Sector is analogous to the GICS sector.""",model37,Text Mining Data,model,Model,model-nlp-models,NLP Models,EUR,1,TOP2500,MATRIX,1,0.7247,19,20,1.4,[]
mdl37_sector_rank_d1,"""The 1-100 percentile rank, among other firms in the same region and TRBC Economic Sector, of a company's 1-year default probability based on the StarMine Text Mining Credit Risk Model. Higher scores indicate companies that are less likely to go bankrupt, or default on their debt obligations, within the next 1-year period. The TRBC Economic Sector is analogous to the GICS sector.""",model37,Text Mining Data,model,Model,model-nlp-models,NLP Models,EUR,1,TOP2500,MATRIX,1,0.7247,2,4,1.4,[]
mdl37_structural,"""The global 1-100 rank of a company based on the language related to the manner in which a company structures its debt, stock, and accounts. Lower risk companies are given higher scores.""",model37,Text Mining Data,model,Model,model-nlp-models,NLP Models,EUR,1,TOP2500,MATRIX,1,0.7263,3,3,1.4,[]
mdl37_structural_d1,"""The global 1-100 rank of a company based on the language related to the manner in which a company structures its debt, stock, and accounts. Lower risk companies are given higher scores.""",model37,Text Mining Data,model,Model,model-nlp-models,NLP Models,EUR,1,TOP2500,MATRIX,1,0.7263,1,1,1.4,[]
mdl37_structural_rating,"rating indicating probability of default based on structural leverage, asset volatility, and asset drift",model37,Text Mining Data,model,Model,model-nlp-models,NLP Models,EUR,1,TOP2500,MATRIX,1,0.6608,2,2,1.4,[]
mdl37_t12m_brc,The number of broker research documents within the trailing 12 months before the Data-Through Date.,model37,Text Mining Data,model,Model,model-nlp-models,NLP Models,EUR,1,TOP2500,MATRIX,1,0.7263,9,206,1.4,[]
mdl37_t12m_brc_d1,The number of broker research documents within the trailing 12 months before the Data-Through Date.,model37,Text Mining Data,model,Model,model-nlp-models,NLP Models,EUR,1,TOP2500,MATRIX,1,0.7263,0,0,1.4,[]
mdl37_t12m_filings_count,The number of filing documents within the trailing 12 months before the Data-Through Date.,model37,Text Mining Data,model,Model,model-nlp-models,NLP Models,EUR,1,TOP2500,MATRIX,1,0.7263,2,68,1.4,[]
mdl37_t12m_filings_count_d1,The number of filing documents within the trailing 12 months before the Data-Through Date.,model37,Text Mining Data,model,Model,model-nlp-models,NLP Models,EUR,1,TOP2500,MATRIX,1,0.7263,0,0,1.4,[]
mdl37_t12m_news_count,The number of news documents within the trailing 12 months before the Data-Through Date.,model37,Text Mining Data,model,Model,model-nlp-models,NLP Models,EUR,1,TOP2500,MATRIX,1,0.7263,5,8,1.4,[]
mdl37_t12m_news_count_d1,The number of news documents within the trailing 12 months before the Data-Through Date.,model37,Text Mining Data,model,Model,model-nlp-models,NLP Models,EUR,1,TOP2500,MATRIX,1,0.7263,0,0,1.4,[]
mdl37_t12m_tr_cnt,The number of transcript documents within the trailing 12 months before the Data-Through Date.,model37,Text Mining Data,model,Model,model-nlp-models,NLP Models,EUR,1,TOP2500,MATRIX,1,0.7263,5,131,1.4,[]
