id,description,dataset.id,dataset.name,category.id,category.name,subcategory.id,subcategory.name,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,pyramidMultiplier,themes
active_notional_value_leg1,Monetary notional amount effective for leg 1 on a specific date.,other315,Equity Swap Data,other,Other,other-aiml-data,AI/ML Data,IND,1,TOP500,VECTOR,1,0.7256,0,0,1.4,[]
contract_notional_value_leg1,Monetary notional amount specified for the first leg of the contract.,other315,Equity Swap Data,other,Other,other-aiml-data,AI/ML Data,IND,1,TOP500,VECTOR,1,0.7256,23,34,1.4,[]
contract_notional_value_leg2,Monetary notional amount specified for the second leg of the contract.,other315,Equity Swap Data,other,Other,other-aiml-data,AI/ML Data,IND,1,TOP500,VECTOR,1,0.7256,2,2,1.4,[]
contract_trade_price,"Price specified in the transaction, excluding fees and commissions.",other315,Equity Swap Data,other,Other,other-aiml-data,AI/ML Data,IND,1,TOP500,VECTOR,1,0.7256,9,13,1.4,[]
leg1_aggregate_notional_quantity,Aggregate notional quantity for the first leg over the transaction term.,other315,Equity Swap Data,other,Other,other-aiml-data,AI/ML Data,IND,1,TOP500,VECTOR,1,0.7256,17,33,1.4,[]
leg1_call_option_value,Monetary amount the option gives the right to buy for the first leg.,other315,Equity Swap Data,other,Other,other-aiml-data,AI/ML Data,IND,1,TOP500,VECTOR,1,0.7256,1,1,1.4,[]
leg1_fixed_payment_period_count,Number of time units for the fixed rate payment frequency for the first leg.,other315,Equity Swap Data,other,Other,other-aiml-data,AI/ML Data,IND,1,TOP500,VECTOR,1,0.7256,5,5,1.4,[]
leg1_floating_payment_period_count,Number of time units for floating rate payment frequency for the first leg.,other315,Equity Swap Data,other,Other,other-aiml-data,AI/ML Data,IND,1,TOP500,VECTOR,1,0.7256,7,7,1.4,[]
leg1_floating_reset_period_count,Number of time units for the reset frequency of the floating leg for the first leg.,other315,Equity Swap Data,other,Other,other-aiml-data,AI/ML Data,IND,1,TOP500,VECTOR,1,0.7256,3,3,1.4,[]
leg1_notional_quantity_value,Non-monetary quantity specified for the first leg of the contract.,other315,Equity Swap Data,other,Other,other-aiml-data,AI/ML Data,IND,1,TOP500,VECTOR,1,0.7256,1,1,1.4,[]
leg1_put_option_value,Monetary amount the option gives the right to sell for the first leg.,other315,Equity Swap Data,other,Other,other-aiml-data,AI/ML Data,IND,1,TOP500,VECTOR,1,0.7256,0,0,1.4,[]
leg1_quantity_frequency_count,Number of time units for the quantity frequency for the first leg.,other315,Equity Swap Data,other,Other,other-aiml-data,AI/ML Data,IND,1,TOP500,VECTOR,1,0.7256,1,1,1.4,[]
leg1_spread_expression_format,Manner in which the spread for the first leg is expressed.,other315,Equity Swap Data,other,Other,other-aiml-data,AI/ML Data,IND,1,TOP500,VECTOR,1,0.7256,0,0,1.4,[]
leg1_spread_value,Spread on the floating leg index reference price for the first leg.,other315,Equity Swap Data,other,Other,other-aiml-data,AI/ML Data,IND,1,TOP500,VECTOR,1,0.7256,0,0,1.4,[]
leg2_aggregate_notional_quantity,Aggregate notional quantity for the second leg over the transaction term.,other315,Equity Swap Data,other,Other,other-aiml-data,AI/ML Data,IND,1,TOP500,VECTOR,1,0.7256,0,0,1.4,[]
leg2_call_option_value,Monetary amount the option gives the right to buy for the second leg.,other315,Equity Swap Data,other,Other,other-aiml-data,AI/ML Data,IND,1,TOP500,VECTOR,1,0.7256,0,0,1.4,[]
leg2_fixed_payment_period_count,Number of time units for the fixed rate payment frequency for the second leg.,other315,Equity Swap Data,other,Other,other-aiml-data,AI/ML Data,IND,1,TOP500,VECTOR,1,0.7256,17,23,1.4,[]
leg2_floating_payment_period_count,Number of time units for floating rate payment frequency for the second leg.,other315,Equity Swap Data,other,Other,other-aiml-data,AI/ML Data,IND,1,TOP500,VECTOR,1,0.7256,43,73,1.4,[]
leg2_floating_reset_period_count,Number of time units for the reset frequency of the floating leg for the second leg.,other315,Equity Swap Data,other,Other,other-aiml-data,AI/ML Data,IND,1,TOP500,VECTOR,1,0.7256,1,1,1.4,[]
leg2_notional_quantity_value,Non-monetary quantity specified for the second leg of the contract.,other315,Equity Swap Data,other,Other,other-aiml-data,AI/ML Data,IND,1,TOP500,VECTOR,1,0.7256,2,2,1.4,[]
leg2_notional_value_on_effective_date,Notional amount effective on a specific date for the second leg.,other315,Equity Swap Data,other,Other,other-aiml-data,AI/ML Data,IND,1,TOP500,VECTOR,1,0.7256,0,0,1.4,[]
leg2_put_option_value,Monetary amount the option gives the right to sell for the second leg.,other315,Equity Swap Data,other,Other,other-aiml-data,AI/ML Data,IND,1,TOP500,VECTOR,1,0.7256,0,0,1.4,[]
leg2_quantity_frequency_count,Number of time units for the quantity frequency for the second leg.,other315,Equity Swap Data,other,Other,other-aiml-data,AI/ML Data,IND,1,TOP500,VECTOR,1,0.7256,0,0,1.4,[]
leg2_spread_expression_format,Manner in which the spread for the second leg is expressed.,other315,Equity Swap Data,other,Other,other-aiml-data,AI/ML Data,IND,1,TOP500,VECTOR,1,0.7256,0,0,1.4,[]
leg2_spread_value,Spread on the floating leg index reference price for the second leg.,other315,Equity Swap Data,other,Other,other-aiml-data,AI/ML Data,IND,1,TOP500,VECTOR,1,0.7256,1,1,1.4,[]
option_premium_value,Amount paid for the option premium.,other315,Equity Swap Data,other,Other,other-aiml-data,AI/ML Data,IND,1,TOP500,VECTOR,1,0.7256,0,0,1.4,[]
option_strike_expression_format,Manner in which the strike price is expressed for the option.,other315,Equity Swap Data,other,Other,other-aiml-data,AI/ML Data,IND,1,TOP500,VECTOR,1,0.7256,0,0,1.4,[]
option_strike_value,Price at which the owner of an option can buy or sell the underlying asset.,other315,Equity Swap Data,other,Other,other-aiml-data,AI/ML Data,IND,1,TOP500,VECTOR,1,0.7256,2,2,1.4,[]
oth315_execution_timestamp,"Date and time a transaction was originally executed, resulting in the generation of a new UTI. This data element remains unchanged throughout the life of the UTI. For clearing swaps, the execution timestamp is the date and time when the DCO accepts the original swap.",other315,Equity Swap Data,other,Other,other-aiml-data,AI/ML Data,IND,1,TOP500,VECTOR,1,0.7256,17,19,1.4,[]
