id,description,dataset.id,dataset.name,category.id,category.name,subcategory.id,subcategory.name,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,pyramidMultiplier,themes
mdl354_group_pt11yf_dlyspe,Forward-looking earnings yield for the next fiscal year.,model354,Comprehensive Factor Analytics Data,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,VECTOR,1,1,7,9,1.4,[]
mdl354_group_pt11yf_ep,Price-to-earnings ratio based on forward-looking earnings for the next fiscal year.,model354,Comprehensive Factor Analytics Data,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,VECTOR,1,1,6,6,1.4,[]
mdl354_group_pt12yf_dlyspe,Forward-looking earnings yield for the second fiscal year ahead.,model354,Comprehensive Factor Analytics Data,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,VECTOR,1,1,0,0,1.4,[]
mdl354_group_pt12yf_ep,Price-to-earnings ratio based on forward-looking earnings for the second fiscal year ahead.,model354,Comprehensive Factor Analytics Data,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,VECTOR,1,1,6,6,1.4,[]
mdl354_group_pt1ac_5y_sale,Annualized compound growth rate of sales over the past 5 years.,model354,Comprehensive Factor Analytics Data,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,VECTOR,1,1,1,1,1.4,[]
mdl354_group_pt1b_mtl_dlyspe,Backward-looking earnings yield based on the last twelve months.,model354,Comprehensive Factor Analytics Data,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,VECTOR,1,1,2,2,1.4,[]
mdl354_group_pt1b_mtl_ep,Price-to-earnings ratio based on backward-looking earnings for the last twelve months.,model354,Comprehensive Factor Analytics Data,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,VECTOR,1,1,2,2,1.4,[]
mdl354_group_pt1bookp,Book value per share of the company.,model354,Comprehensive Factor Analytics Data,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,VECTOR,1,1,2,3,1.4,[]
mdl354_group_pt1bookp_fy1,Forward-looking book value per share for the next fiscal year.,model354,Comprehensive Factor Analytics Data,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,VECTOR,1,1,2,3,1.4,[]
mdl354_group_pt1cfoyld,Cash flow yield based on operating cash flows.,model354,Comprehensive Factor Analytics Data,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,VECTOR,1,1,2,2,1.4,[]
mdl354_group_pt1cfoyld_fy1,Forward-looking cash flow yield for the next fiscal year.,model354,Comprehensive Factor Analytics Data,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,VECTOR,1,1,0,0,1.4,[]
mdl354_group_pt1country,Country of domicile for the company.,model354,Comprehensive Factor Analytics Data,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,VECTOR,1,1,0,0,1.4,[]
mdl354_group_pt1d1ntr,Daily return of the stock.,model354,Comprehensive Factor Analytics Data,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,VECTOR,1,1,0,0,1.4,[]
mdl354_group_pt1d_mtl_dlyspe,Backward-looking earnings yield based on the last twelve months (diluted).,model354,Comprehensive Factor Analytics Data,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,VECTOR,1,1,0,0,1.4,[]
mdl354_group_pt1d_mtl_ep,Price-to-earnings ratio based on backward-looking diluted earnings for the last twelve months.,model354,Comprehensive Factor Analytics Data,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,VECTOR,1,1,0,0,1.4,[]
mdl354_group_pt1divyld_exp,Expected dividend yield based on analyst forecasts.,model354,Comprehensive Factor Analytics Data,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,VECTOR,1,1,11,12,1.4,[]
