id,description,dataset.id,dataset.name,category.id,category.name,subcategory.id,subcategory.name,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,pyramidMultiplier,themes
oth7_1_confidence,"The probability of the trinary sentiment score (above) matching a known sentiment state alone: 0.000 = zero probability, 1.000 is absolute probability.",other7,Archive News Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.9463,11,13,1.5,[]
oth7_1_headlineonly,"Identifies if the item is headline only or if there is a body as well. T"" = true, for headline only, ""F"" = false, indicating there is a body to the story.""",other7,Archive News Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.67,2,2,1.5,[]
oth7_1_marketimpactscore,"The estimated risk-adjusted 1 minute forward return for a given article as measured by stock return minus the stock beta multiplied market return, -5 being most negative impact and +5 most positive.",other7,Archive News Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.9463,4,4,1.5,[]
oth7_1_novelty,"Identifies new stories: 1 = new story, 2 or greater means the item is linked to a previous story that was published within the last 24 hours.",other7,Archive News Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.9463,3,3,1.5,[]
oth7_1_prob_neg,Sentiment probability: The raw probability that the article sentiment is negative expressed as a decimal with all three probabilities summing to 1.,other7,Archive News Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.9463,2,2,1.5,[]
oth7_1_prob_ntr,Sentiment probability: The raw probability that the article sentiment is neutral expressed as a decimal with all three probabilities summing to 1.,other7,Archive News Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.9463,3,3,1.5,[]
oth7_1_prob_pos,Sentiment probability: The raw probability that the article sentiment is positive expressed as a decimal with all three probabilities summing to 1.,other7,Archive News Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.9463,11,14,1.5,[]
oth7_1_relevance,"Weighting of the sentiment to the company in that line of data. Relevance of 1.00"" = primary relevance, any less indicates the appropriate degree of relevance.""",other7,Archive News Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.9463,0,0,1.5,[]
oth7_1_sentiment,"Reveals in a trinary score the highest probable state of sentiment found in the news item, 1 = positive, 0 = neutral, and -1 = negative.",other7,Archive News Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.8295,4,4,1.5,[]
oth7_1_timestamp,The publication timestamp of the news item in UTC (Coordinated Universal Time) by default.,other7,Archive News Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.9463,4,6,1.5,[]
