id,description,dataset.id,dataset.name,category.id,category.name,subcategory.id,subcategory.name,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,pyramidMultiplier,themes
avg_business_outlook_score,Average rating for the company's business outlook.,other567,Employee Review Data,other,Other,other-event-data,Event Data,IND,1,TOP500,VECTOR,1,0.6339,24,26,1.4,[]
avg_career_growth_score,Average rating for career advancement opportunities.,other567,Employee Review Data,other,Other,other-event-data,Event Data,IND,1,TOP500,VECTOR,1,0.6339,8,8,1.4,[]
avg_ceo_approval_score,Average approval rating for the company's CEO.,other567,Employee Review Data,other,Other,other-event-data,Event Data,IND,1,TOP500,VECTOR,1,0.6339,5,6,1.4,[]
avg_culture_values_score,Average rating for company culture and values.,other567,Employee Review Data,other,Other,other-event-data,Event Data,IND,1,TOP500,VECTOR,1,0.6339,3,3,1.4,[]
avg_diversity_inclusion_score,Average rating for diversity and inclusion.,other567,Employee Review Data,other,Other,other-event-data,Event Data,IND,1,TOP500,VECTOR,1,0.6339,4,4,1.4,[]
avg_overall_company_score,Average overall rating given to the company.,other567,Employee Review Data,other,Other,other-event-data,Event Data,IND,1,TOP500,VECTOR,1,0.6339,4,4,1.4,[]
avg_pay_and_benefits_score,Average rating for compensation and benefits.,other567,Employee Review Data,other,Other,other-event-data,Event Data,IND,1,TOP500,VECTOR,1,0.6339,4,5,1.4,[]
avg_recommend_to_peer_score,Average score indicating if reviewers would recommend the company to a friend.,other567,Employee Review Data,other,Other,other-event-data,Event Data,IND,1,TOP500,VECTOR,1,0.6339,1,1,1.4,[]
avg_senior_management_score,Average rating for senior management.,other567,Employee Review Data,other,Other,other-event-data,Event Data,IND,1,TOP500,VECTOR,1,0.6339,5,5,1.4,[]
avg_work_life_balance_score,Average rating for work-life balance from reviewers.,other567,Employee Review Data,other,Other,other-event-data,Event Data,IND,1,TOP500,VECTOR,1,0.6339,4,4,1.4,[]
benefits_perks_sentiment,Sentiment score for perks and additional benefits offered by the company.,other567,Employee Review Data,other,Other,other-event-data,Event Data,IND,1,TOP500,VECTOR,1,0.6337,1,1,1.4,[]
career_advancement_sentiment_score,Sentiment score for career advancement based on review text.,other567,Employee Review Data,other,Other,other-event-data,Event Data,IND,1,TOP500,VECTOR,1,0.6337,21,23,1.4,[]
career_growth_rating,Rating for career advancement opportunities by the reviewer.,other567,Employee Review Data,other,Other,other-event-data,Event Data,IND,1,TOP500,VECTOR,1,0.6337,12,13,1.4,[]
company_size_sentiment_score,Sentiment score for company and division size based on review text.,other567,Employee Review Data,other,Other,other-event-data,Event Data,IND,1,TOP500,VECTOR,1,0.6337,5,5,1.4,[]
compensation_sentiment_score,Sentiment score for compensation based on review text.,other567,Employee Review Data,other,Other,other-event-data,Event Data,IND,1,TOP500,VECTOR,1,0.6337,3,4,1.4,[]
coworkers_sentiment_score,Sentiment score for coworkers based on review text.,other567,Employee Review Data,other,Other,other-event-data,Event Data,IND,1,TOP500,VECTOR,1,0.6337,4,4,1.4,[]
culture_values_rating,Rating for company culture and values by the reviewer.,other567,Employee Review Data,other,Other,other-event-data,Event Data,IND,1,TOP500,VECTOR,1,0.6337,6,6,1.4,[]
diversity_inclusion_rating,Rating for diversity and inclusion by the reviewer.,other567,Employee Review Data,other,Other,other-event-data,Event Data,IND,1,TOP500,VECTOR,1,0.6337,3,3,1.4,[]
diversity_inclusion_sentiment_score,Sentiment score for diversity and inclusion based on review text.,other567,Employee Review Data,other,Other,other-event-data,Event Data,IND,1,TOP500,VECTOR,1,0.6337,1,2,1.4,[]
employment_duration_years,Number of years the reviewer worked at the company.,other567,Employee Review Data,other,Other,other-event-data,Event Data,IND,1,TOP500,VECTOR,1,0.6337,12,12,1.4,[]
innovation_technology_sentiment_score,Sentiment score for innovative technology based on review text.,other567,Employee Review Data,other,Other,other-event-data,Event Data,IND,1,TOP500,VECTOR,1,0.6337,1,1,1.4,[]
leadership_sentiment_score,Sentiment score reflecting reviewer opinions about company management.,other567,Employee Review Data,other,Other,other-event-data,Event Data,IND,1,TOP500,VECTOR,1,0.6337,1,1,1.4,[]
mentorship_sentiment_score,Sentiment score for mentorship based on review text.,other567,Employee Review Data,other,Other,other-event-data,Event Data,IND,1,TOP500,VECTOR,1,0.6337,3,3,1.4,[]
negative_feedback_text,Reviewer’s comments about drawbacks or negative aspects of the company.,other567,Employee Review Data,other,Other,other-event-data,Event Data,IND,1,TOP500,VECTOR,1,0.6337,1,1,1.4,[]
onboarding_sentiment_score,Sentiment score for onboarding experience based on review text.,other567,Employee Review Data,other,Other,other-event-data,Event Data,IND,1,TOP500,VECTOR,1,0.6337,9,10,1.4,[]
overall_company_rating,Overall rating given to the company by the reviewer.,other567,Employee Review Data,other,Other,other-event-data,Event Data,IND,1,TOP500,VECTOR,1,0.6337,1,1,1.4,[]
remote_work_sentiment_score,Sentiment score for remote work based on review text.,other567,Employee Review Data,other,Other,other-event-data,Event Data,IND,1,TOP500,VECTOR,1,0.6337,1,1,1.4,[]
remuneration_benefits_score,Reviewer’s rating of pay and benefits provided by the company.,other567,Employee Review Data,other,Other,other-event-data,Event Data,IND,1,TOP500,VECTOR,1,0.6337,2,2,1.4,[]
review_helpful_count,Number of users who marked the review as helpful.,other567,Employee Review Data,other,Other,other-event-data,Event Data,IND,1,TOP500,VECTOR,1,0.6337,9,10,1.4,[]
review_positive_comments,Positive comments about the company from the reviewer.,other567,Employee Review Data,other,Other,other-event-data,Event Data,IND,1,TOP500,VECTOR,1,0.6337,5,5,1.4,[]
review_title_summary,Title or summary of the review provided by the reviewer.,other567,Employee Review Data,other,Other,other-event-data,Event Data,IND,1,TOP500,VECTOR,1,0.6337,1,1,1.4,[]
review_unhelpful_count,Number of users who marked the review as not helpful.,other567,Employee Review Data,other,Other,other-event-data,Event Data,IND,1,TOP500,VECTOR,1,0.6337,0,0,1.4,[]
senior_management_rating,Rating for senior management by the reviewer.,other567,Employee Review Data,other,Other,other-event-data,Event Data,IND,1,TOP500,VECTOR,1,0.6337,4,4,1.4,[]
suggestion_to_management,Advice or recommendations given by the reviewer to company management.,other567,Employee Review Data,other,Other,other-event-data,Event Data,IND,1,TOP500,VECTOR,1,0.6337,1,1,1.4,[]
work_life_balance_rating,Rating for work-life balance by the reviewer.,other567,Employee Review Data,other,Other,other-event-data,Event Data,IND,1,TOP500,VECTOR,1,0.6337,4,6,1.4,[]
work_life_balance_sentiment_score,Sentiment score for work-life balance based on review text.,other567,Employee Review Data,other,Other,other-event-data,Event Data,IND,1,TOP500,VECTOR,1,0.6337,2,2,1.4,[]
workplace_culture_sentiment,Sentiment score reflecting reviewer opinions about company culture.,other567,Employee Review Data,other,Other,other-event-data,Event Data,IND,1,TOP500,VECTOR,1,0.6337,5,5,1.4,[]
