id,description,dataset.id,dataset.name,category.id,category.name,subcategory.id,subcategory.name,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,pyramidMultiplier,themes
aggregate_downside_risk_score_2,Combined score assessing probability of underperformance.,model50,International Scorings Data,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,0.7953,3,4,1.4,[]
aggregate_downside_risk_score_backfill,Combined score assessing probability of underperformance (backfill data).,model50,International Scorings Data,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,1,1,1,1.4,[]
analyst_count_fy1_forecasts,Number of analysts providing forecasts for the next fiscal year.,model50,International Scorings Data,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,0.5991,0.8119,1,1,1.4,[]
analyst_count_fy1_forecasts_backfill,Number of analysts providing forecasts for the next fiscal year (backfill data).,model50,International Scorings Data,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,1,0,0,1.4,[]
analyst_forecast_dispersion_score,Score indicating the level of disagreement among analyst forecasts.,model50,International Scorings Data,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,1,3,4,1.4,[]
analyst_forecast_revision_score_3,Score for changes in analyst forecasts compared to peers.,model50,International Scorings Data,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,0.7859,2,2,1.4,[]
analyst_forecast_revision_score_4,Score ranking stocks by changes in analyst forecasts relative to the universe.,model50,International Scorings Data,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,1,0,0,1.4,[]
avg_daily_volume,Average number of shares traded per day.,model50,International Scorings Data,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,0.5991,0.816,0,0,1.4,[]
beta_relative_to_country,Beta value of the stock compared to its country index.,model50,International Scorings Data,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,0.5991,0.815,4,4,1.4,[]
beta_relative_to_country_backfill,Beta value of the stock compared to its country index (backfill data).,model50,International Scorings Data,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,1,0,0,1.4,[]
beta_relative_to_global_index,Beta value measuring stock volatility compared to a global equity index excluding US.,model50,International Scorings Data,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,1,2,2,1.4,[]
beta_vs_global_ex_us,Beta value of the stock compared to the global index excluding US.,model50,International Scorings Data,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,0.5991,0.816,1,1,1.4,[]
capital_investment_score,Score based on recent capital and R&D expenditures.,model50,International Scorings Data,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,0.7835,2,2,1.4,[]
capital_investment_score_2,Score ranking stocks by recent capital and R&D expenditures relative to the universe.,model50,International Scorings Data,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,1,2,3,1.4,[]
closing_share_price,Latest closing price of the stock.,model50,International Scorings Data,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,0.5991,0.816,2,2,1.4,[]
closing_stock_price,Closing price of the stock for the given period.,model50,International Scorings Data,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,1,9,17,1.4,[]
country_analyst_forecast_revision_score,Score for changes in analyst forecasts within the country.,model50,International Scorings Data,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,0.7854,3,3,1.4,[]
country_capital_investment_score,Score for recent capital and R&D expenditures within the country.,model50,International Scorings Data,model,Model,model-risk-based-models,Risk Based Models,EUR,1,TOP2500,MATRIX,1,0.783,2,2,1.4,[]
