id,description,dataset.id,dataset.name,category.id,category.name,subcategory.id,subcategory.name,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,pyramidMultiplier,themes
mws46_elw,Word and phrase detection score,news46,Relevant News Analytics Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,1,3,3,1.5,[]
mws46_ens,"A score between 0 and 100 that represents how ""new"" or novel a news story is within a 24-hour time window across all news stories in a particular package",news46,Relevant News Analytics Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,1,0,0,1.5,[]
mws46_ens_elapsed,The number of milliseconds between the first story and the current story in an event novelty chain. The first story in a chain will always be given a value of zero milliseconds.,news46,Relevant News Analytics Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,1,2,2,1.5,[]
mws46_ens_key,An alphanumeric identifier that provides a way to chain or relate stories about the same categorized event for the same entities.,news46,Relevant News Analytics Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,1,2,2,1.5,[]
mws46_ens_key_off,An alphanumeric identifier that provides a way to chain or relate stories about the same categorized event for the same entities.,news46,Relevant News Analytics Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,1,1,1,1.5,[]
mws46_ess,A granular score between 0 and 100 that represents the news sentiment for a given entity by measuring various proxies sampled from the news. The score is determined by systematically matching stories typically categorized by financial experts as having short-term positive or negative financial or economic impact. Their ratings are encapsulated in an algorithm that generates a score range between 0-100 where higher values indicate more positive sentiment while values below 50 show negative sentiment.,news46,Relevant News Analytics Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,1,7,7,1.5,[]
mws46_g_ens,"A score between 0 and 100 that represents how ""new"" or novel a news story is within a 24-hour time window across all news providers",news46,Relevant News Analytics Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,1,2,3,1.5,[]
mws46_g_ens_elapsed,The number of milliseconds between the first story and the current story in an event novelty chain across all news providers,news46,Relevant News Analytics Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,1,0,0,1.5,[]
mws46_mce,Event information,news46,Relevant News Analytics Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,1,13,20,1.5,[]
mws46_mcp,"Projections, corporate news score",news46,Relevant News Analytics Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,1,2,6,1.5,[]
mws46_mcr,Reports on corporate actions score,news46,Relevant News Analytics Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,1,1,1,1.5,[]
mws46_mcv,"Venture, corporate, mergers and acquisitions score",news46,Relevant News Analytics Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,1,1,1,1.5,[]
mws46_news_type,Classifies the type of news story,news46,Relevant News Analytics Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,1,12,17,1.5,[]
mws46_nip,A score taking values between 0 and 100 that represents the degree of impact a news flash has on the market over the following two-hour period Whether something is considered high or low depends on the time of day when the story arrived,news46,Relevant News Analytics Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,1,4,4,1.5,[]
mws46_ravenpack_mean_ens,"A score between 0 and 100 that represents how ""new"" or novel a news story is within a 24-hour time window across all news stories in a particular package",news46,Relevant News Analytics Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,MATRIX,1,0.6975,9,10,1.5,[]
mws46_ravenpack_mean_ess,A granular score between 0 and 100 that represents the news sentiment for a given entity by measuring various proxies sampled from the news. The score is determined by systematically matching stories typically categorized by financial experts as having short-term positive or negative financial or economic impact. Their ratings are encapsulated in an algorithm that generates a score range between 0-100 where higher values indicate more positive sentiment while values below 50 show negative sentiment.,news46,Relevant News Analytics Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,MATRIX,1,0.6975,21,28,1.5,[]
mws46_ravenpack_mean_nip,A score taking values between 0 and 100 that represents the degree of impact a news flash has on the market over the following two-hour period Whether something is considered high or low depends on the time of day when the story arrived,news46,Relevant News Analytics Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,MATRIX,1,0.9081,10,12,1.5,[]
mws46_ravenpack_mean_relevance,"A score between 0-100 that indicates how strongly related the entity is to the underlying newsstory, with higher values indicating greater relevance Specifically, a value of 100 indicates that the entity identified plays a key role in the news story and is considered highly relevant",news46,Relevant News Analytics Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,MATRIX,1,0.9081,26,34,1.5,[]
mws46_ravenpack_mean_ssc,A sentiment score between 0 and 100 that represents the news sentiment of a given story by combining various sentiment analysis techniques,news46,Relevant News Analytics Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,MATRIX,1,0.9081,18,23,1.5,[]
mws46_ravenpack_sum_ens,"A score between 0 and 100 that represents how ""new"" or novel a news story is within a 24-hour time window across all news stories in a particular package",news46,Relevant News Analytics Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,MATRIX,1,0.6975,7,7,1.5,[]
mws46_ravenpack_sum_ess,A granular score between 0 and 100 that represents the news sentiment for a given entity by measuring various proxies sampled from the news. The score is determined by systematically matching stories typically categorized by financial experts as having short-term positive or negative financial or economic impact. Their ratings are encapsulated in an algorithm that generates a score range between 0-100 where higher values indicate more positive sentiment while values below 50 show negative sentiment.,news46,Relevant News Analytics Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,MATRIX,1,0.6975,6,6,1.5,[]
mws46_ravenpack_sum_nip,A score taking values between 0 and 100 that represents the degree of impact a news flash has on the market over the following two-hour period Whether something is considered high or low depends on the time of day when the story arrived,news46,Relevant News Analytics Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,MATRIX,1,0.9081,9,9,1.5,[]
mws46_ravenpack_sum_relevance,"A score between 0-100 that indicates how strongly related the entity is to the underlying newsstory, with higher values indicating greater relevance Specifically, a value of 100 indicates that the entity identified plays a key role in the news story and is considered highly relevant",news46,Relevant News Analytics Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,MATRIX,1,0.9081,8,10,1.5,[]
mws46_ravenpack_sum_ssc,A sentiment score between 0 and 100 that represents the news sentiment of a given story by combining various sentiment analysis techniques,news46,Relevant News Analytics Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,MATRIX,1,0.9081,15,15,1.5,[]
mws46_ravenpack_sum_story_count,Story count,news46,Relevant News Analytics Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,MATRIX,1,0.9081,43,58,1.5,[]
mws46_relevance,"A score between 0-100 that indicates how strongly related the entity is to the underlying newsstory, with higher values indicating greater relevance Specifically, a value of 100 indicates that the entity identified plays a key role in the news story and is considered highly relevant",news46,Relevant News Analytics Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,1,7,7,1.5,[]
mws46_ssc,A sentiment score between 0 and 100 that represents the news sentiment of a given story by combining various sentiment analysis techniques,news46,Relevant News Analytics Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,1,4,4,1.5,[]
mws46_story_count,Story count,news46,Relevant News Analytics Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,1,23,33,1.5,[]
mws46_story_index,Story index,news46,Relevant News Analytics Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,1,7,11,1.5,[]
mws46_time,Time,news46,Relevant News Analytics Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,1,2,2,1.5,[]
