id,description,dataset.id,dataset.name,category.id,category.name,subcategory.id,subcategory.name,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,pyramidMultiplier,themes
delta_surface_data_quality,A measure or flag indicating the quality of the delta surface data.,option1,Options Volatility Surfaces Data,option,Option,option-option-volatility,Option Volatility,IND,1,TOP500,VECTOR,1,0.3446,41,47,1.4,[]
implied_yield_value,"The yield value implied by market prices, typically derived from options or futures.",option1,Options Volatility Surfaces Data,option,Option,option-option-volatility,Option Volatility,IND,1,TOP500,VECTOR,1,0.3432,30,37,1.4,[]
opt1_deltasurface_d1_moneyness,option moneyness,option1,Options Volatility Surfaces Data,option,Option,option-option-volatility,Option Volatility,IND,1,TOP500,VECTOR,1,0.3446,28,29,1.4,[]
opt1_dvd_frequency,"times per year (1 - annually, 2 - semiannually, 4 - quarterly, 12 - monthly)",option1,Options Volatility Surfaces Data,option,Option,option-option-volatility,Option Volatility,IND,1,TOP500,VECTOR,0.5988,0.3304,45,113,1.4,[]
opt1_forward_price_d1_forward,forward price,option1,Options Volatility Surfaces Data,option,Option,option-option-volatility,Option Volatility,IND,1,TOP500,VECTOR,1,0.5056,88,131,1.4,[]
opt1_isenabled,whether a root is standard (IsEnabled=0) or non-standard IsEnable=0),option1,Options Volatility Surfaces Data,option,Option,option-option-volatility,Option Volatility,IND,1,TOP500,VECTOR,0.5988,0.5162,79,111,1.4,[]
opt1_last_dvd_amount,"dividend amount (used in calculations, if dividends are paid in foreign currecny we transform real amount to stock's currecny)",option1,Options Volatility Surfaces Data,option,Option,option-option-volatility,Option Volatility,IND,1,TOP500,VECTOR,0.5988,0.3304,74,92,1.4,[]
opt1_p_deltasurface_d1_delta,option delta,option1,Options Volatility Surfaces Data,option,Option,option-option-volatility,Option Volatility,IND,1,TOP500,VECTOR,1,0.3446,24,30,1.4,[]
opt1_p_deltasurface_d1_vi,implied volatility,option1,Options Volatility Surfaces Data,option,Option,option-option-volatility,Option Volatility,IND,1,TOP500,VECTOR,1,0.3446,17,21,1.4,[]
opt1_p_raw_deltasurface_d1_delta,delta of a virtual contract,option1,Options Volatility Surfaces Data,option,Option,option-option-volatility,Option Volatility,IND,1,TOP500,VECTOR,1,0.3446,7,7,1.4,[]
opt1_p_raw_deltasurface_d1_vi,implied volatility of a virtual contract,option1,Options Volatility Surfaces Data,option,Option,option-option-volatility,Option Volatility,IND,1,TOP500,VECTOR,1,0.3446,13,14,1.4,[]
opt1_parameterization_d1_forward,equity forward price,option1,Options Volatility Surfaces Data,option,Option,option-option-volatility,Option Volatility,IND,1,TOP500,VECTOR,1,0.3446,20,22,1.4,[]
opt1_price_close,"stock last price (adjusted for corp. actions such as splits, special cash and others). For example, in a 2-for-1 stock split, we divide OHL prices and close price history by 2",option1,Options Volatility Surfaces Data,option,Option,option-option-volatility,Option Volatility,IND,1,TOP500,VECTOR,1,0.5177,199,387,1.4,[]
opt1_price_close_ini,stock last price (unadjusted; as of trade date),option1,Options Volatility Surfaces Data,option,Option,option-option-volatility,Option Volatility,IND,1,TOP500,VECTOR,1,0.5177,54,119,1.4,[]
opt1_price_close_opt,"stock last price (as of trade date) used for options calculations (IV&greeks), unadjusted for corp. actions. It could be different from price_close_ini in some cases: for example, for SPX we use 4:15 index price derived from futures instead of 16:00 PM index close. If there is a stock split (or another event which has the influence on pricing), historical prices of this field remain unchanged",option1,Options Volatility Surfaces Data,option,Option,option-option-volatility,Option Volatility,IND,1,TOP500,VECTOR,1,0.5177,50,94,1.4,[]
opt1_price_high,high price (adjusted),option1,Options Volatility Surfaces Data,option,Option,option-option-volatility,Option Volatility,IND,1,TOP500,VECTOR,1,0.5177,102,160,1.4,[]
opt1_price_low,low price (adjusted),option1,Options Volatility Surfaces Data,option,Option,option-option-volatility,Option Volatility,IND,1,TOP500,VECTOR,1,0.5177,44,55,1.4,[]
opt1_price_open,open price (adjusted),option1,Options Volatility Surfaces Data,option,Option,option-option-volatility,Option Volatility,IND,1,TOP500,VECTOR,1,0.5177,129,208,1.4,[]
opt1_raw_deltasurface_d1_moneyness,moneyness,option1,Options Volatility Surfaces Data,option,Option,option-option-volatility,Option Volatility,IND,1,TOP500,VECTOR,1,0.3446,16,20,1.4,[]
