id,description,dataset.id,dataset.name,category.id,category.name,subcategory.id,subcategory.name,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,pyramidMultiplier,themes
mws50_acb,"REPORTS ON CORPORATE ACTIONS (Equities Package Only) - A score that represents the news sentiment of the given news story according to the BCA classifier, which specializes in reports on corporate action announcements",news50,Web News Analytics Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.7863,10,33,1.5,[]
mws50_aes,"A granular score between 0 and 100 that represents the ratio of positive events reported on an entity compared to the total count of events (excluding neutral ones) measured over a rolling 91- day window in a particular package (Dow Jones, Web or PR Editions). Only news items that match a RavenPack event category receiving an ESS score are included in the computation of AES. An event with ESS>50 is counted as a positive entry whereas one with ESS<50 is counted as a negative entry. Events with ESS=50 are considered neutral and excluded from the computation.",news50,Web News Analytics Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.7863,10,16,1.5,[]
mws50_bam,"VENTURE, COMPANY, MERGERS & ACQUISITIONS (Equities Package Only) - A score that represents the news sentiment of the given story according to the BAM classifier, which specializes in news stories about mergers, acquisitions, and takeovers",news50,Web News Analytics Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.7863,5,6,1.5,[]
mws50_bee,"EARNINGS EVALUATIONS (Equities Package Only) - A score that represents the news sentiment of the given story according to the BEE classifier, which specializes in news stories about earnings evaluations",news50,Web News Analytics Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.7863,10,25,1.5,[]
mws50_ber,"EARNINGS RELEASES (Equities Package Only) - A score that represents the news sentiment of the given story according to the BER classifier, which specializes in news stories about earnings releases",news50,Web News Analytics Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.7863,5,6,1.5,[]
mws50_category,"A unique tag to label, identify, and recognize a particular type and property of an entity-specific news event",news50,Web News Analytics Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.9085,5,5,1.5,[]
mws50_country_code,"The two character ISO-3166 country code associated with an entity. Companies and organizations are associated with the country of incorporation, currencies are associated with the country where the central bank resides, and commodities are global and not associated with specific countries, so their COUNTRY_CODE label is 'XX'",news50,Web News Analytics Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.7863,5,5,1.5,[]
mws50_ens,"EVENT NOVELTY SCORE - A score between 0 and 100 that represents how ""new"" or novel a news story is within a 24-hour time window across all news stories in a particular package",news50,Web News Analytics Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.7863,3,3,1.5,[]
mws50_ens_elapsed,"EVENT NOVELTY ELAPSED TIME - The number of milliseconds between the first story and the current story in an event novelty chain. The first story in a chain will always be given a value of zero milliseconds (ENS_ELAPSED = 0). Subsequent stories in the same event novelty chain will receive higher values indicating the number of milliseconds elapsed since the first news story reporting the event. ENS_ELAPSED is only based on news stories from a particular package (Dow Jones Edition, Web Edition, or PR Edition)",news50,Web News Analytics Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.7863,5,5,1.5,[]
mws50_ens_key,An alphanumeric identifier that provides a way to chain or relate stories about the same categorized event for the same entities.,news50,Web News Analytics Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.9085,2,3,1.5,[]
mws50_ens_similarity_gap,"The number of days since a similar story was detected in this RPNA edition (Dow Jones Edition, Web Edition, or PR Edition). Values range between 0.00000 and 100.00000 inclusive. The value 100.00000 means that the most recent similar story occurred 100 or more days in the past. The value 0.00000 means a similar story exists with the exact same timestamp",news50,Web News Analytics Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,0.5761,0.7863,6,6,1.5,[]
mws50_ess,EVENT SENTIMENT SCORE - A granular score between 0 and 100 that represents the news sentiment for a given entity by measuring various proxies sampled from the news. The score is determined by systematically matching stories typically categorized by financial experts as having short-term positive or negative financial or economic impact. Their ratings are encapsulated in an algorithm that generates a score range between 0-100 where higher values indicate more positive sentiment while values below 50 show negative sentiment.,news50,Web News Analytics Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.7863,9,10,1.5,[]
mws50_evaluation_method,A period of time used to measure changes from previous levels in an event.,news50,Web News Analytics Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,0.5761,0.9085,13,14,1.5,[]
mws50_g_ens,"GLOBAL EVENT NOVELTY SCORE - A score between 0 and 100 that represents how ""new"" or novel a news story is within a 24-hour time window across all news providers covered by RavenPack",news50,Web News Analytics Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.7863,3,3,1.5,[]
mws50_g_ens_elapsed,GLOBAL EVENT NOVELTY ELAPSED TIME - The number of milliseconds between the first story and the current story in an event novelty chain across all news providers covered by RavenPack,news50,Web News Analytics Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.7863,4,5,1.5,[]
mws50_g_ens_key,An alphanumeric identifier that provides a way to chain or relate stories about the same categorized event for the same entities across all news providers.,news50,Web News Analytics Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.9085,4,11,1.5,[]
mws50_g_ens_similarity_gap,"The number of days since a similar story was detected across all product editions (Dow Jones Edition, Web Edition, and PR Edition)",news50,Web News Analytics Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,0.5761,0.7863,7,9,1.5,[]
mws50_ghc_lna,ANALYST RECOMMENDATIONS & CHANGES (Equities Package Only) - A score that represents a change in recommendation by an analyst firm in the form of a numerical score,news50,Web News Analytics Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.7863,12,18,1.5,[]
mws50_group,A collection of related events.,news50,Web News Analytics Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.9079,1,2,1.5,[]
