id,description,dataset.id,dataset.name,category.id,category.name,subcategory.id,subcategory.name,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,pyramidMultiplier,themes
ask_side_conversion_yield,Yield to conversion based on the ask price.,pv109,Bond Yield Data,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,VECTOR,1,0.3393,0,0,1.2,[]
ask_side_yield_to_maturity,Yield to maturity calculated using the ask price.,pv109,Bond Yield Data,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,VECTOR,1,0.3393,1,1,1.2,[]
bid_side_conversion_yield,Yield to conversion based on the bid price.,pv109,Bond Yield Data,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,VECTOR,1,0.3393,0,0,1.2,[]
bid_side_yield_to_maturity,Yield to maturity calculated using the bid price.,pv109,Bond Yield Data,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,VECTOR,1,0.3393,0,0,1.2,[]
bid_side_yield_to_maturity_duplicate,Yield to maturity calculated using the bid price (duplicate field).,pv109,Bond Yield Data,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,VECTOR,1,0.3393,2,2,1.2,[]
bond_coupon_rate,Interest rate paid by the bond to its holders.,pv109,Bond Yield Data,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,VECTOR,1,0.3393,3,3,1.2,[]
coupon_payment_frequency,Frequency at which interest payments are made to bondholders.,pv109,Bond Yield Data,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,VECTOR,1,0.3393,2,2,1.2,[]
current_coupon_rate,Current interest rate paid by the bond.,pv109,Bond Yield Data,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,VECTOR,1,0.3393,1,1,1.2,[]
face_value_amount,Nominal value of the bond to be repaid at maturity.,pv109,Bond Yield Data,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,VECTOR,1,0.3393,8,11,1.2,[]
highest_bid_price,Maximum price a buyer is willing to pay for the bond.,pv109,Bond Yield Data,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,VECTOR,1,0.3393,3,3,1.2,[]
initial_issue_price,Price at which the bond was first offered to investors.,pv109,Bond Yield Data,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,VECTOR,1,0.3393,4,5,1.2,[]
interest_day_count_basis,Day count convention used for interest calculation on the bond.,pv109,Bond Yield Data,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,VECTOR,1,0.3393,0,0,1.2,[]
last_traded_price,Most recent price at which the bond was traded.,pv109,Bond Yield Data,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,VECTOR,1,0.3393,1,1,1.2,[]
lowest_ask_price,Minimum price a seller is willing to accept for the bond.,pv109,Bond Yield Data,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,VECTOR,1,0.3393,1,1,1.2,[]
midpoint_conversion_yield,Yield to conversion calculated using the average of bid and ask prices.,pv109,Bond Yield Data,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,VECTOR,1,0.3393,1,1,1.2,[]
midpoint_trade_price,Average of the bid and ask prices for the bond.,pv109,Bond Yield Data,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,VECTOR,1,0.3393,0,0,1.2,[]
midpoint_yield_to_maturity,Yield to maturity calculated using the average of bid and ask prices.,pv109,Bond Yield Data,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,VECTOR,1,0.3393,0,0,1.2,[]
minimum_bond_denomination,Smallest denomination in which the bond can be purchased.,pv109,Bond Yield Data,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,VECTOR,1,0.3393,2,2,1.2,[]
minimum_trade_increment,Smallest amount by which the bond can be traded.,pv109,Bond Yield Data,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,VECTOR,1,0.3393,1,1,1.2,[]
pv109_amt_issued,Amount Issued,pv109,Bond Yield Data,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,VECTOR,1,0.3393,4,4,1.2,[]
pv109_amt_outstanding,Amount Outstanding,pv109,Bond Yield Data,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,VECTOR,1,0.3393,3,3,1.2,[]
pv109_announce_dt,Announce Date,pv109,Bond Yield Data,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,VECTOR,1,0.3393,1,2,1.2,[]
pv109_maturity,Maturity,pv109,Bond Yield Data,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,VECTOR,1,0.3393,6,6,1.2,[]
redemption_value_amount,Amount received by the holder at bond maturity or redemption.,pv109,Bond Yield Data,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,VECTOR,1,0.3393,4,4,1.2,[]
total_traded_volume,Total number of units or shares traded for the bond.,pv109,Bond Yield Data,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,VECTOR,1,0.3393,1,1,1.2,[]
