id,description,dataset.id,dataset.name,category.id,category.name,subcategory.id,subcategory.name,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,pyramidMultiplier,themes
anl45_ad_rel_ret_per,Average daily index relative return percentage,analyst45,Analyst Trade Ideas,analyst,Analyst,analyst-analyst-estimates,Analyst Estimates,GLB,1,TOP3000,VECTOR,1,0.5461,0,0,1.5,[]
anl45_ad_ret_per,Average daily percent return over lifetime of idea,analyst45,Analyst Trade Ideas,analyst,Analyst,analyst-analyst-estimates,Analyst Estimates,GLB,1,TOP3000,VECTOR,1,0.5574,0,0,1.5,[]
anl45_ang_inv,Time-weighted average investment,analyst45,Analyst Trade Ideas,analyst,Analyst,analyst-analyst-estimates,Analyst Estimates,GLB,1,TOP3000,VECTOR,1,0.607,0,0,1.5,[]
anl45_avg_dur,Average age of the idea (limited to the period selected),analyst45,Analyst Trade Ideas,analyst,Analyst,analyst-analyst-estimates,Analyst Estimates,GLB,1,TOP3000,VECTOR,1,0.6086,0,0,1.5,[]
anl45_avg_initial_prc,Average share price weighted by volume of each share purchase,analyst45,Analyst Trade Ideas,analyst,Analyst,analyst-analyst-estimates,Analyst Estimates,GLB,1,TOP3000,VECTOR,1,0.4988,0,0,1.5,[]
anl45_avg_initial_prc_wfee,The avg initial price adjusted to include fee payment when fees are applied,analyst45,Analyst Trade Ideas,analyst,Analyst,analyst-analyst-estimates,Analyst Estimates,GLB,1,TOP3000,VECTOR,1,0.4988,0,0,1.5,[]
anl45_beta,"A measure of the volatility, or systematic risk, of a security or a portfolio in comparison to the market as a whole . Updated Monthly, based on last 20 months",analyst45,Analyst Trade Ideas,analyst,Analyst,analyst-analyst-estimates,Analyst Estimates,GLB,1,TOP3000,VECTOR,1,0.5735,1,1,1.5,[]
anl45_bias_weighted_ret,Non-Functional,analyst45,Analyst Trade Ideas,analyst,Analyst,analyst-analyst-estimates,Analyst Estimates,GLB,1,TOP3000,VECTOR,1,0.6072,0,0,1.5,[]
anl45_bm_exchange_rate,Exchange Rate by which the Benchmark will be measured,analyst45,Analyst Trade Ideas,analyst,Analyst,analyst-analyst-estimates,Analyst Estimates,GLB,1,TOP3000,VECTOR,1,0.3703,0,0,1.5,[]
anl45_bm_fx_ret,"What FX return did the Benchmark make? (Benchmark in GBP, Investment in USD, what movement was there)",analyst45,Analyst Trade Ideas,analyst,Analyst,analyst-analyst-estimates,Analyst Estimates,GLB,1,TOP3000,VECTOR,1,0.5495,0,0,1.5,[]
anl45_bm_ret,Return of the benchmark,analyst45,Analyst Trade Ideas,analyst,Analyst,analyst-analyst-estimates,Analyst Estimates,GLB,1,TOP3000,VECTOR,1,0.528,1,1,1.5,[]
anl45_bm_ret_wo_fx,Basically tracking the raw returns of the benchmark,analyst45,Analyst Trade Ideas,analyst,Analyst,analyst-analyst-estimates,Analyst Estimates,GLB,1,TOP3000,VECTOR,1,0.528,0,0,1.5,[]
anl45_closed_prc,The price at which the idea was closed.,analyst45,Analyst Trade Ideas,analyst,Analyst,analyst-analyst-estimates,Analyst Estimates,GLB,1,TOP3000,VECTOR,1,0.5173,0,0,1.5,[]
anl45_current_inv,"Current investment amount of the idea, including all increases and partial closures of that idea",analyst45,Analyst Trade Ideas,analyst,Analyst,analyst-analyst-estimates,Analyst Estimates,GLB,1,TOP3000,VECTOR,1,0.6086,0,0,1.5,[]
anl45_days_since_inception,# of trading days since an Idea was submitted,analyst45,Analyst Trade Ideas,analyst,Analyst,analyst-analyst-estimates,Analyst Estimates,GLB,1,TOP3000,VECTOR,1,0.6086,0,0,1.5,[]
anl45_idea_count,Number of ideas in a group - useful when grouping ideas in the view,analyst45,Analyst Trade Ideas,analyst,Analyst,analyst-analyst-estimates,Analyst Estimates,GLB,1,TOP3000,VECTOR,1,0.6086,0,0,1.5,[]
anl45_index_period_end_prc,Benchmark/Index end price  based on the performance period you chose,analyst45,Analyst Trade Ideas,analyst,Analyst,analyst-analyst-estimates,Analyst Estimates,GLB,1,TOP3000,VECTOR,1,0.5334,0,0,1.5,[]
anl45_index_period_start_prc,Benchmark/Index start price  based on the performance period you chose,analyst45,Analyst Trade Ideas,analyst,Analyst,analyst-analyst-estimates,Analyst Estimates,GLB,1,TOP3000,VECTOR,1,0.5438,0,0,1.5,[]
anl45_index_ret_per,Return % had the investment been made in an index,analyst45,Analyst Trade Ideas,analyst,Analyst,analyst-analyst-estimates,Analyst Estimates,GLB,1,TOP3000,VECTOR,1,0.5656,0,0,1.5,[]
anl45_initial_inv,Initial investment amount for the Idea,analyst45,Analyst Trade Ideas,analyst,Analyst,analyst-analyst-estimates,Analyst Estimates,GLB,1,TOP3000,VECTOR,1,0.6086,0,0,1.5,[]
anl45_inv_exchange_rate,Exchange rate between stock and investment currencies / FX Rate on the period End date,analyst45,Analyst Trade Ideas,analyst,Analyst,analyst-analyst-estimates,Analyst Estimates,GLB,1,TOP3000,VECTOR,1,0.3717,0,0,1.5,[]
anl45_jensensalpha,A risk-adjusted performance measure that represents the average return on a portfolio over and above the average market return,analyst45,Analyst Trade Ideas,analyst,Analyst,analyst-analyst-estimates,Analyst Estimates,GLB,1,TOP3000,VECTOR,1,0.5495,0,0,1.5,[]
anl45_latest_prc,The current price of the stock in the idea.,analyst45,Analyst Trade Ideas,analyst,Analyst,analyst-analyst-estimates,Analyst Estimates,GLB,1,TOP3000,VECTOR,1,0.4425,0,0,1.5,[]
anl45_net_market_exposure,Difference in fractional total value between long and short ideas,analyst45,Analyst Trade Ideas,analyst,Analyst,analyst-analyst-estimates,Analyst Estimates,GLB,1,TOP3000,VECTOR,1,0.6083,0,0,1.5,[]
anl45_new_value,"New value of a stoplosspercent, target price, or capital change",analyst45,Analyst Trade Ideas,analyst,Analyst,analyst-analyst-estimates,Analyst Estimates,GLB,1,TOP3000,VECTOR,1,0.6109,0,0,1.5,[]
anl45_old_value,"Previous value of a stoplosspercent, target price, or capital change",analyst45,Analyst Trade Ideas,analyst,Analyst,analyst-analyst-estimates,Analyst Estimates,GLB,1,TOP3000,VECTOR,1,0.6109,0,0,1.5,[]
anl45_period_end_prc,Close price on day at end of selected period.,analyst45,Analyst Trade Ideas,analyst,Analyst,analyst-analyst-estimates,Analyst Estimates,GLB,1,TOP3000,VECTOR,1,0.4976,0,0,1.5,[]
anl45_period_start_prc,Close price on day before start of selected period.,analyst45,Analyst Trade Ideas,analyst,Analyst,analyst-analyst-estimates,Analyst Estimates,GLB,1,TOP3000,VECTOR,1,0.4988,0,0,1.5,[]
anl45_prc,The price given to the investment change,analyst45,Analyst Trade Ideas,analyst,Analyst,analyst-analyst-estimates,Analyst Estimates,GLB,1,TOP3000,VECTOR,1,0.6092,0,0,1.5,[]
anl45_prc_change_per_today,Percent change in stock price since previous close of day price.,analyst45,Analyst Trade Ideas,analyst,Analyst,analyst-analyst-estimates,Analyst Estimates,GLB,1,TOP3000,VECTOR,1,0.5563,0,0,1.5,[]
anl45_prc_change_today,Change in stock price since previous day close.,analyst45,Analyst Trade Ideas,analyst,Analyst,analyst-analyst-estimates,Analyst Estimates,GLB,1,TOP3000,VECTOR,1,0.5003,0,0,1.5,[]
anl45_prev_close_prc,Last available close price for stock,analyst45,Analyst Trade Ideas,analyst,Analyst,analyst-analyst-estimates,Analyst Estimates,GLB,1,TOP3000,VECTOR,1,0.4893,1,1,1.5,[]
