id,description,dataset.id,dataset.name,category.id,category.name,subcategory.id,subcategory.name,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,pyramidMultiplier,themes
fiscal_q1_period_end_date,Date when the first fiscal quarter ends.,model33,Revenue Estimate Model,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,SYMBOL,1,0.9452,0,0,1.4,[]
fiscal_q2_period_end_date,Date when the second fiscal quarter ends.,model33,Revenue Estimate Model,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,SYMBOL,1,0.945,0,0,1.4,[]
fiscal_year_one_period_end_date_2,Date when the first fiscal year ends.,model33,Revenue Estimate Model,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,SYMBOL,1,0.9599,0,0,1.4,[]
fiscal_year_two_period_end_date_2,Date when the second fiscal year ends.,model33,Revenue Estimate Model,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,SYMBOL,1,0.9598,0,0,1.4,[]
mdl33_smartestimate_f12m_revenue,Analyst predicted revenue forward 12 months,model33,Revenue Estimate Model,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,0.9993,8,8,1.4,[]
mdl33_smartestimate_fq1_revenue,Analyst predicted revenue forward 1 quarter,model33,Revenue Estimate Model,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,0.4709,4,4,1.4,[]
mdl33_smartestimate_fq2_revenue,Analyst predicted revenue forward 2 quarters,model33,Revenue Estimate Model,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,0.3838,4,4,1.4,[]
mdl33_smartestimate_fy1_revenue,Analyst predicted revenue forward 1 year,model33,Revenue Estimate Model,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,1,17,20,1.4,[]
mdl33_smartestimate_fy2_revenue,Analyst predicted revenue forward 2 years,model33,Revenue Estimate Model,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,1,8,10,1.4,[]
star_rev_analyst_number_fq1,FQ1 Number of SE Analysts,model33,Revenue Estimate Model,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,0.7507,8,8,1.4,[]
star_rev_analyst_number_fq1_d1,FQ1 Number of SE Analysts,model33,Revenue Estimate Model,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,0.9607,0,0,1.4,[]
star_rev_analyst_number_fq2,FQ2 Number of SE Analysts,model33,Revenue Estimate Model,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,0.7507,4,4,1.4,[]
star_rev_analyst_number_fq2_d1,FQ2 Number of SE Analysts,model33,Revenue Estimate Model,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,0.9607,0,0,1.4,[]
star_rev_analyst_number_fy1,FY1 Number of SE Analysts,model33,Revenue Estimate Model,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,0.7507,7,8,1.4,[]
star_rev_analyst_number_fy1_d1,FY1 Number of SE Analysts,model33,Revenue Estimate Model,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,0.9607,1,1,1.4,[]
star_rev_analyst_number_fy2,FY2 Number of SE Analysts,model33,Revenue Estimate Model,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,0.7507,5,5,1.4,[]
star_rev_analyst_number_fy2_d1,FY2 Number of SE Analysts,model33,Revenue Estimate Model,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,0.9607,0,0,1.4,[]
star_rev_smart_estimate_12m,F12M SmartEstimate,model33,Revenue Estimate Model,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,0.7258,7,7,1.4,[]
star_rev_smart_estimate_12m_d1,F12M SmartEstimate,model33,Revenue Estimate Model,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,0.9437,7,7,1.4,[]
star_rev_smart_estimate_fq1,FQ1 SmartEstimate,model33,Revenue Estimate Model,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,0.3188,4,5,1.4,[]
star_rev_smart_estimate_fq1_d1,FQ1 SmartEstimate,model33,Revenue Estimate Model,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,0.4629,4,5,1.4,[]
star_rev_smart_estimate_fq2,FQ2 SmartEstimate,model33,Revenue Estimate Model,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,0.2563,2,3,1.4,[]
star_rev_smart_estimate_fq2_d1,FQ2 SmartEstimate,model33,Revenue Estimate Model,model,Model,model-estimates-models,Estimates Models,EUR,1,TOP2500,MATRIX,1,0.387,3,4,1.4,[]
