id,description,dataset.id,dataset.name,category.id,category.name,subcategory.id,subcategory.name,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,pyramidMultiplier,themes
aggregated_slippage_metric,Comprehensive measure of slippage across multiple trades or venues.,pv106,Microstructure Spread Data,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,MATRIX,1,1,72,148,1.2,[]
asia_trade_cost_buy,Estimated cost incurred when buying in Asian markets.,pv106,Microstructure Spread Data,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,MATRIX,1,1,23,29,1.2,[]
asia_trade_cost_sell,Estimated cost incurred when selling in Asian markets.,pv106,Microstructure Spread Data,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,MATRIX,1,1,12,13,1.2,[]
asian_market_slippage,Slippage metric specific to Asian market trades.,pv106,Microstructure Spread Data,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,MATRIX,1,1,5,6,1.2,[]
average_spread_slippage,Average slippage experienced due to spread during trade execution.,pv106,Microstructure Spread Data,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,MATRIX,1,1,17,17,1.2,[]
bid_ask_price_gap,Difference between the best bid and ask prices for a security.,pv106,Microstructure Spread Data,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,MATRIX,1,0.989,40,51,1.2,[]
group_buy_slippage,Slippage incurred when executing grouped buy orders.,pv106,Microstructure Spread Data,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,MATRIX,1,1,14,17,1.2,[]
group_order_slippage,Slippage experienced when executing grouped orders.,pv106,Microstructure Spread Data,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,MATRIX,1,1,1,1,1.2,[]
group_sell_slippage,Slippage incurred when executing grouped sell orders.,pv106,Microstructure Spread Data,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,MATRIX,1,1,14,22,1.2,[]
korean_market_slippage,Slippage metric specific to Korean market trades.,pv106,Microstructure Spread Data,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,MATRIX,1,1,47,76,1.2,[]
price_difference_bid_ask,Difference between the highest bid and lowest ask prices for a security.,pv106,Microstructure Spread Data,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,MATRIX,1,0.989,41,53,1.2,[]
pv106_wli_lastspread,Spread over last 30 minutes,pv106,Microstructure Spread Data,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,MATRIX,1,0.957,42,84,1.2,[]
pv106_wli_lastspreadbp,Spread over last 30 minutes in basis points,pv106,Microstructure Spread Data,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,MATRIX,1,0.957,34,47,1.2,[]
pv106_wli_spread,spread is the difference between bid and ask price,pv106,Microstructure Spread Data,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,MATRIX,1,0.9867,71,110,1.2,[]
pv106_wli_spreadbp,Spread in basis points,pv106,Microstructure Spread Data,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,MATRIX,1,0.9867,49,82,1.2,[]
slippage_at_spread_20,Slippage value calculated at a spread threshold of 20 units.,pv106,Microstructure Spread Data,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,MATRIX,1,1,13,24,1.2,[]
slippage_commission_2025,Estimated slippage and commission costs for the year 2025.,pv106,Microstructure Spread Data,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,MATRIX,1,1,11,15,1.2,[]
slippage_commission_estimate,Estimated slippage and commission costs for trades.,pv106,Microstructure Spread Data,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,MATRIX,1,1,20,31,1.2,[]
transaction_cost_estimate,Estimated cost incurred when executing a trade.,pv106,Microstructure Spread Data,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,MATRIX,1,1,3,8,1.2,[]
transaction_cost_maximum,Maximum estimated transaction cost for a trade.,pv106,Microstructure Spread Data,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,MATRIX,1,1,28,39,1.2,[]
transaction_cost_median,Median estimated transaction cost for a trade.,pv106,Microstructure Spread Data,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,MATRIX,1,1,20,29,1.2,[]
transaction_cost_percentile_10,Estimated transaction cost at the 10th percentile for a trade.,pv106,Microstructure Spread Data,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,MATRIX,1,1,17,17,1.2,[]
transaction_cost_percentile_25,Estimated transaction cost at the 25th percentile for a trade.,pv106,Microstructure Spread Data,pv,Price Volume,pv-price-volume,Price Volume,IND,1,TOP500,MATRIX,1,1,11,11,1.2,[]
