id,description,dataset.id,dataset.name,category.id,category.name,subcategory.id,subcategory.name,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,pyramidMultiplier,themes
nws48_acb,"Reports on Corporate Actions - A score that represents the news sentiment of the given news story, which specializes in reports on corporate action announcements",news48,Global Media News Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.6326,6,6,1.5,[]
nws48_aes,A granular score between 0 and 100 that represents the ratio of positive events reported on an entity compared to the total count of events (excluding neutral ones) measured over a rolling 91-day window,news48,Global Media News Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.6326,8,8,1.5,[]
nws48_bam,"Venture, Company, Mergers & Acquisitions - A score that represents the news sentiment of the given story, which specializes in news stories about mergers, acquisitions, and takeovers",news48,Global Media News Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.6326,4,4,1.5,[]
nws48_bee,"Earnings Evaluations - A score that represents the news sentiment of the given story, which specializes in news stories about earnings evaluations",news48,Global Media News Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.6326,6,18,1.5,[]
nws48_ber,"Earnings Releases - A score that represents the news sentiment of the given story, which specializes in news stories about earnings releases",news48,Global Media News Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.6326,1,1,1.5,[]
nws48_ens,"Event Novelty Score - A score between 0 and 100 that represents how ""new"" or novel a news story is within a 24-hour time window across all news stories",news48,Global Media News Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.6326,4,4,1.5,[]
nws48_ens_elapsed,Event Novelty Elapsed Time - The number of milliseconds between the first story and the current story in an event novelty chain,news48,Global Media News Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.6326,3,3,1.5,[]
nws48_ens_similarity_gap,The number of days since a similar story was detected. Values range between 0.00000 and 100.00000 inclusive. The value 100.00000 means that the most recent similar story occurred 100 or more days in the past. The value 0.00000 means a similar story exists with the exact same timestamp,news48,Global Media News Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.6326,1,1,1.5,[]
nws48_ess,Event Sentiment Score - A granular score between 0 and 100 that represents the news sentiment for a given entity by measuring various proxies sampled from the news. The ratings are encapsulated in an algorithm that generates a score range between 0 and 100 where higher values indicate more positive sentiment while values below 50 show negative sentiment,news48,Global Media News Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.6326,1,1,1.5,[]
nws48_g_ens,"Global Event Novelty Score - A score between 0 and 100 that represents how ""new"" or novel a news story is within a 24-hour time window across all news providers",news48,Global Media News Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.6326,2,2,1.5,[]
nws48_g_ens_elapsed,Global Event Novelty Elapsed Time - The number of milliseconds between the first story and the current story in an event novelty chain across all news providers covered by,news48,Global Media News Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.6326,1,1,1.5,[]
nws48_g_ens_similarity_gap,The number of days since a similar story was detected,news48,Global Media News Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.6326,1,1,1.5,[]
nws48_ghc_lna,Analyst Recommendations & Changes - A score that represents a change in recommendation by an analyst firm in the form of a numerical score,news48,Global Media News Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.6326,1,1,1.5,[]
nws48_nip,News Impact Projections - A score taking values between 0 and 100 that represents the degree of impact a news flash has on the market over the following 2-hour period. Whether something is considered high or low depends on the time of day when the story arrived,news48,Global Media News Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.6326,1,1,1.5,[]
nws48_qcm,Multi Classifier for Equities - A score that represents the news sentiment based on the tone; applicable only towards the most relevant companies mentioned in a story,news48,Global Media News Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.6326,5,5,1.5,[]
nws48_qep,"Global Equities - A score that represents the news sentiment of the given news item, which specializes in identifying positive and negative words and phrases in articles about global equities",news48,Global Media News Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.6326,6,8,1.5,[]
nws48_qmb,"Editorials & Commentary - A score that represents the news sentiment of the given story, which specializes in short commentary and editorials on global equity markets",news48,Global Media News Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.6326,2,2,1.5,[]
nws48_relevance,"A score between 0-100 that indicates how strongly related the entity is to the underlying news story, with higher values indicating greater relevance. Specifically, a value of 100 indicates that the entity identified plays a key role in the news story and is considered highly relevant",news48,Global Media News Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.6326,4,4,1.5,[]
nws48_rp_story_event_count,Represents the total entity records published per news story,news48,Global Media News Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.6326,2,2,1.5,[]
nws48_rp_story_event_index,Represents the order in which entity records are published per news story,news48,Global Media News Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.6326,2,2,1.5,[]
nws48_ssc,A sentiment score between 0 and 100 that represents the news sentiment of a given story by combining various sentiment analysis techniques,news48,Global Media News Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.6326,2,3,1.5,[]
nws48_vea,A value that represents the count of events for an entity (excluding neutral ones) measured over a rolling 91-day window,news48,Global Media News Data,news,News,news-news-sentiment,News Sentiment,EUR,1,TOP2500,VECTOR,1,0.6326,7,16,1.5,[]
