id,description,dataset.id,dataset.name,category.id,category.name,subcategory.id,subcategory.name,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,pyramidMultiplier,themes
earnings_news_mention_count,Number of news items referencing earnings within a specified timeframe.,news7,Real Time News Feed Data,news,News,news-news,News,EUR,1,TOP2500,MATRIX,1,0.4276,6,8,1.5,[]
headline_mention_count,The number of news headlines counted for tone analysis in the headline tone module.,news7,Real Time News Feed Data,news,News,news-news,News,EUR,1,TOP2500,MATRIX,1,0.594,2,2,1.5,[]
headline_mention_count_2,The number of news headlines counted for tone analysis in the second headline tone module.,news7,Real Time News Feed Data,news,News,news-news,News,EUR,1,TOP2500,MATRIX,1,0.9258,10,10,1.5,[]
headline_negative_mention_count,The number of news headlines with a negative tone in the headline tone module.,news7,Real Time News Feed Data,news,News,news-news,News,EUR,1,TOP2500,MATRIX,1,0.594,7,7,1.5,[]
headline_negative_mention_count_2,The number of news headlines with a negative tone in the second module.,news7,Real Time News Feed Data,news,News,news-news,News,EUR,1,TOP2500,MATRIX,1,0.9258,7,8,1.5,[]
headline_negative_sentiment_score,Negative sentiment score derived from the news headline.,news7,Real Time News Feed Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.4208,1,1,1.5,[]
headline_negative_sentiment_score_story,Negative sentiment score derived from the headline in the story analysis.,news7,Real Time News Feed Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.4208,0,0,1.5,[]
headline_negative_tone_score,The aggregate negative sentiment score calculated from news headlines.,news7,Real Time News Feed Data,news,News,news-news,News,EUR,1,TOP2500,MATRIX,1,0.594,3,4,1.5,[]
headline_negative_tone_score_2,The aggregate negative sentiment score calculated from news headlines in the second module.,news7,Real Time News Feed Data,news,News,news-news,News,EUR,1,TOP2500,MATRIX,1,0.9258,4,4,1.5,[]
headline_negative_word_count,Number of negative words identified in the news headline.,news7,Real Time News Feed Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.4208,2,2,1.5,[]
headline_negative_word_count_story,Number of negative words identified in the headline in the story analysis.,news7,Real Time News Feed Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.4208,1,1,1.5,[]
headline_overall_tone_score,The overall sentiment score derived from both positive and negative headline tones.,news7,Real Time News Feed Data,news,News,news-news,News,EUR,1,TOP2500,MATRIX,1,0.594,3,3,1.5,[]
headline_overall_tone_score_2,The overall sentiment score derived from both positive and negative headline tones in the second module.,news7,Real Time News Feed Data,news,News,news-news,News,EUR,1,TOP2500,MATRIX,1,0.9258,4,6,1.5,[]
headline_positive_mention_count,The number of news headlines with a positive tone in the headline tone module.,news7,Real Time News Feed Data,news,News,news-news,News,EUR,1,TOP2500,MATRIX,1,0.594,2,2,1.5,[]
headline_positive_mention_count_2,The number of news headlines with a positive tone in the second module.,news7,Real Time News Feed Data,news,News,news-news,News,EUR,1,TOP2500,MATRIX,1,0.9258,2,2,1.5,[]
