id,description,dataset.id,dataset.name,category.id,category.name,subcategory.id,subcategory.name,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,pyramidMultiplier,themes
annual_ghg_emission_decline,Year-over-year decrease in the company's greenhouse gas emissions.,model176,Non-Financial Metric Models,model,Model,model-consumer-models,Consumer Models,EUR,1,TOP2500,VECTOR,1,0.6856,0,0,1.4,[]
beneficiary_reach_index,Diversity and geographical reach of the company's products and services.,model176,Non-Financial Metric Models,model,Model,model-consumer-models,Consumer Models,EUR,1,TOP2500,VECTOR,1,0.6856,0,0,1.4,[]
client_satisfaction_index,Level of satisfaction among a company's customers.,model176,Non-Financial Metric Models,model,Model,model-consumer-models,Consumer Models,EUR,1,TOP2500,VECTOR,1,0.6856,0,0,1.4,[]
company_financial_performance_metrics,Financial data used in sustainability and impact analysis.,model176,Non-Financial Metric Models,model,Model,model-consumer-models,Consumer Models,EUR,1,TOP2500,VECTOR,1,0.6856,2,2,1.4,[]
corporate_responsibility_score,Degree of responsibility and answerability for sustainability outcomes within the company.,model176,Non-Financial Metric Models,model,Model,model-consumer-models,Consumer Models,EUR,1,TOP2500,VECTOR,1,0.6856,0,0,1.4,[]
customer_warranty_provision,Indicates whether the company provides guarantees or warranties for its offerings.,model176,Non-Financial Metric Models,model,Model,model-consumer-models,Consumer Models,EUR,1,TOP2500,VECTOR,1,0.6907,0,0,1.4,[]
employee_financial_wellbeing_score,A score measuring economic growth and financial well-being for employees.,model176,Non-Financial Metric Models,model,Model,model-consumer-models,Consumer Models,EUR,1,TOP2500,VECTOR,1,0.6856,0,0,1.4,[]
employee_healthcare_benefit_quality,Quality and breadth of healthcare benefits provided to employees.,model176,Non-Financial Metric Models,model,Model,model-consumer-models,Consumer Models,EUR,1,TOP2500,VECTOR,1,0.6856,0,0,1.4,[]
employee_healthcare_benefit_score,Assessment of the quality and coverage of healthcare benefits for employees.,model176,Non-Financial Metric Models,model,Model,model-consumer-models,Consumer Models,EUR,1,TOP2500,VECTOR,1,0.6907,0,0,1.4,[]
employee_wellbeing_score,A score measuring the physical and mental well-being of employees and stakeholders.,model176,Non-Financial Metric Models,model,Model,model-consumer-models,Consumer Models,EUR,1,TOP2500,VECTOR,1,0.6856,1,1,1.4,[]
energy_consumption_per_revenue,Energy usage by the company per unit of revenue.,model176,Non-Financial Metric Models,model,Model,model-consumer-models,Consumer Models,EUR,1,TOP2500,VECTOR,1,0.6856,1,2,1.4,[]
environmental_stewardship_score,A rating of the company's net positive environmental impact.,model176,Non-Financial Metric Models,model,Model,model-consumer-models,Consumer Models,EUR,1,TOP2500,VECTOR,1,0.6856,0,0,1.4,[]
equity_incentive_availability_score,Extent to which employees can participate in company financial success via stock options.,model176,Non-Financial Metric Models,model,Model,model-consumer-models,Consumer Models,EUR,1,TOP2500,VECTOR,1,0.6856,0,0,1.4,[]
executive_to_worker_pay_ratio,Ratio of CEO compensation to average employee pay.,model176,Non-Financial Metric Models,model,Model,model-consumer-models,Consumer Models,EUR,1,TOP2500,VECTOR,1,0.6856,0,0,1.4,[]
external_sustainability_certification_list,Recognition from independent organizations for meeting sustainability or quality standards.,model176,Non-Financial Metric Models,model,Model,model-consumer-models,Consumer Models,EUR,1,TOP2500,VECTOR,1,0.6856,0,0,1.4,[]
female_management_percentage,Percentage of women in management positions.,model176,Non-Financial Metric Models,model,Model,model-consumer-models,Consumer Models,EUR,1,TOP2500,VECTOR,1,0.6856,0,0,1.4,[]
female_workforce_percentage,Percentage of women in the company's workforce.,model176,Non-Financial Metric Models,model,Model,model-consumer-models,Consumer Models,EUR,1,TOP2500,VECTOR,1,0.6856,0,0,1.4,[]
