id,description,dataset.id,dataset.name,category.id,category.name,subcategory.id,subcategory.name,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,pyramidMultiplier,themes
capacity_positive_event_count,Number of positive statements or events about production or operational capacity.,other696,Hybrid NLP Model,other,Other,other-aiml-data,AI/ML Data,IND,1,TOP500,VECTOR,1,0.4138,2,2,1.4,[]
future_tense_neutral_statement_count,Count of neutral statements using future tense verbs.,other696,Hybrid NLP Model,other,Other,other-aiml-data,AI/ML Data,IND,1,TOP500,VECTOR,1,0.4138,8,10,1.4,[]
inflation_negative_event_count,Number of negative statements or events related to inflation.,other696,Hybrid NLP Model,other,Other,other-aiml-data,AI/ML Data,IND,1,TOP500,VECTOR,1,0.4138,2,2,1.4,[]
leadership_positive_event_count,Number of positive statements or events related to company leadership.,other696,Hybrid NLP Model,other,Other,other-aiml-data,AI/ML Data,IND,1,TOP500,VECTOR,1,0.4138,1,1,1.4,[]
negative_metrics_change_event_count,Count of negative events related to changes in key metrics.,other696,Hybrid NLP Model,other,Other,other-aiml-data,AI/ML Data,IND,1,TOP500,VECTOR,1,0.4138,1,1,1.4,[]
oth696_accessaffordability_negative,Relates to a firm's ability to ensure broad access to its products and services,other696,Hybrid NLP Model,other,Other,other-aiml-data,AI/ML Data,IND,1,TOP500,VECTOR,1,0.4138,1,1,1.4,[]
oth696_accessaffordability_positive,Relates to a firm's ability to ensure broad access to its products and services,other696,Hybrid NLP Model,other,Other,other-aiml-data,AI/ML Data,IND,1,TOP500,VECTOR,1,0.4138,2,2,1.4,[]
oth696_accountingstandards_negative,Relates to a firm's accepted accounting standards,other696,Hybrid NLP Model,other,Other,other-aiml-data,AI/ML Data,IND,1,TOP500,VECTOR,1,0.4138,1,3,1.4,[]
oth696_accountingstandards_positive,Relates to a firm's accepted accounting standards,other696,Hybrid NLP Model,other,Other,other-aiml-data,AI/ML Data,IND,1,TOP500,VECTOR,1,0.4138,1,1,1.4,[]
oth696_acquisitions_negative,Relates to a firm's acquisitions and M&A activity.,other696,Hybrid NLP Model,other,Other,other-aiml-data,AI/ML Data,IND,1,TOP500,VECTOR,1,0.4138,1,1,1.4,[]
oth696_acquisitions_positive,Relates to a firm's acquisitions and M&A activity.,other696,Hybrid NLP Model,other,Other,other-aiml-data,AI/ML Data,IND,1,TOP500,VECTOR,1,0.4138,0,0,1.4,[]
oth696_airquality_negative,Relates to a firm's management of air quality impacts resulting from stationary (e.g.,other696,Hybrid NLP Model,other,Other,other-aiml-data,AI/ML Data,IND,1,TOP500,VECTOR,1,0.4138,0,0,1.4,[]
oth696_airquality_positive,Relates to a firm's management of air quality impacts resulting from stationary (e.g.,other696,Hybrid NLP Model,other,Other,other-aiml-data,AI/ML Data,IND,1,TOP500,VECTOR,1,0.4138,0,0,1.4,[]
oth696_alldlneg,"Count of sentences classified as Negative by the DL model, in the entire document",other696,Hybrid NLP Model,other,Other,other-aiml-data,AI/ML Data,IND,1,TOP500,VECTOR,1,0.4138,4,4,1.4,[]
