id,description,dataset.id,dataset.name,category.id,category.name,subcategory.id,subcategory.name,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,pyramidMultiplier,themes
analyst_recommendation_change_score,"A score representing changes in analyst recommendations, such as upgrade or downgrade.",news17,PR Edition Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.9048,6,6,1.5,[]
nws17_acb,"A score that represents the news sentiment of the given story according to the BER classifier, which specializes in news stories about earnings releases. Scores can take values of -1, 0, or 1 indicating negative, neutral, or positive sentiment, respectively",news17,PR Edition Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.6644,7,8,1.5,[]
nws17_bam,"A score that represents the news sentiment of the given news story according to the BCA classifier, which specializes in reports on corporate action announcements. Scores can take values of -1, 0, or 1 indicating negative, neutral, or positive sentiment, respectively",news17,PR Edition Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.6644,4,4,1.5,[]
nws17_bee,"A score that represents the news sentiment of the given story according to the BEE classifier, which specializes in news stories about earnings evaluations. Scores can take values of -1, 0, or 1 indicating negative, neutral, or positive sentiment, respectively",news17,PR Edition Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.6644,3,5,1.5,[]
nws17_ber,"A score that represents a change in recommendation by an analyst firm in the form of a numerical score. When the mention of a company in a story matches the criteria for ANL-CHG, scores can take values of -1, 0, or 1, indicating a downgrade, neutral, or upgrade rating, depending on the recommendation change by the analyst",news17,PR Edition Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.6644,3,4,1.5,[]
nws17_comp_d1_acb,"A score that represents the news sentiment of the given story according to the BER classifier, which specializes in news stories about earnings releases. Scores can take values of -1, 0, or 1, indicating negative, neutral, or positive sentiment, respectively.",news17,PR Edition Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.5445,47,69,1.5,[]
nws17_comp_d1_bee,"A score that represents the news sentiment of the given story according to the BEE classifier, which specializes in news stories about earnings evaluations. Scores can take values of -1, 0, or 1 indicating negative, neutral, or positive sentiment, respectively.",news17,PR Edition Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.3968,23,28,1.5,[]
nws17_comp_d1_ber,"A score that represents a change in recommendation by an analyst firm in the form of a numerical score. When the mention of a company in a story matches the criteria for ANL-CHG, scores can take values of -1, 0, or 1, indicating a downgrade, neutral, or upgrade rating, depending on the recommendation change by the analyst.",news17,PR Edition Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.5585,15,20,1.5,[]
nws17_comp_d1_country_code,"The two-character ISO-3166 country code associated with an entity. Companies and organizations are associated with the country of incorporation, currencies are associated with the country where the central bank resides. Entities such as commodities have a country code of XX as they are global and not associated with any specific country",news17,PR Edition Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.8528,17,22,1.5,[]
nws17_comp_d1_event_end_time_utc,The time when the event ends in UTC.,news17,PR Edition Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.8527,10,11,1.5,[]
